rd_total,rd_total_biz,co_code
5532.78,55.120000000000005,36069
62325.270000000004,0,36071
6202.79,4.55,36073
680.24,0,36075
851.94,2.81,36077
110234.06,2639.12,36081
457217.67000000004,30406.800000000003,36083
17574.77,1782.48,36085
62007.2,9481.1,36089
8060.56,2.86,36091
8828.41,14.68,36093
851.94,2.81,36095
5532.78,55.120000000000005,36099
1414376.07,48337.72,36103
4123345.9,170452.25,36109
91107.78,14005.869999999999,36119
5532.78,55.120000000000005,36123
10231.35,2.86,37001
12575.779999999999,191.46,37021
8724.119999999999,316.98,37025
15013.5,0,37029
10231.35,2.86,37033
70908.2,630.79,37051
4796795.95,1044283.3,37063
842363.98,47880.38,37067
265721.77999999997,2145.06,37081
5875.17,58.97,37087
8724.119999999999,316.98,37097
5875.17,58.97,37099
127018.04,8089.08,37119
77654.35,1860.02,37129
4549956.92,141402.87,37135
15013.5,0,37139
140924.26,12095.64,37147
8724.119999999999,316.98,37159
2060324.36,243543.59999999998,37183
17411.59,2431.81,37189
692956.65,5998.29,38017
325313.38,49326.71,38035
3272.62,0,39005
275467.92,24862.83,39009
96218.13,3490.06,39017
2228506.86,57158.82,39035
3708114.66,532642.09,39049
382859.04,10811.98,39057
1999529.15,107238.45,39061
7947.56,60.67,39093
279629.82,16318.09,39095
15332.470000000001,255.91,39099
802862.06,39090.29,39113
208380.61,3594.8100000000004,39133
96218.13,3490.06,39135
4644.58,334.94,39147
435504.52999999997,20692.010000000002,39153
3272.62,0,39169
48975.88,1042.96,39173
1157930.95,45566.71,40027
9136.29,1453.67,40037
2421.1,0,40069
50899.4,556.51,40083
15887.87,556.51,40109
9136.29,1453.67,40113
683473.74,30615.01,40119
2421.1,0,40123
124978.87,64104.549999999996,40143
1115360.46,38114.36,41003
28903.89,0,41005
2907.69,37.21,41029
5496.33,191.69,41035
436180.6,4315.83,41039
9974.44,0,41047
1759218.97,85531.94,41051
2538.07,0,41053
26796.4,916.13,41067
5334179.9799999995,173464.52,42003
8309.09,377.47,42017
2782.46,0,42021
3748367.1399999997,157602.26,42027
21054.54,636.51,42029
592.98,0,42037
912.53,0,42039
8106.18,0,42041
12597.28,764.78,42043
128293.06999999999,4123.89,42045
26266.73,2319.38,42049
522.85,0,42055
4908.05,0,42063
11293.86,15.51,42069
15916.07,585.04,42071
160868.19999999998,6145.95,42077
592.98,0,42079
113803.03,4128.09,42091
592.98,0,42093
169177.28999999998,6523.42,42095
6418256.84,459651.3,42101
19679.01,1155.07,42119
640.83,0,42125
11219.81,50.61,44001
13162.2,0,44005
1676661.05,15011.31,44007
462730.5,16111.61,44009
4623.450000000001,18.77,45003
812.31,0,45013
1182206.46,73577.21,45019
8930.19,1.91,45045
9954.37,8.44,45051
71216.31,197.48,45075
748492.47,75828.95999999999,45077
974383.41,35060.33,45079
43274.18,16.59,45091
287001.99,4688.57,46011
12180.2,42.09,46019
136583.77,247.28000000000003,46027
11258.99,426.24,46079
12180.2,42.09,46081
11258.99,426.24,46087
66851.93,3138.66,46093
15077.44,860.93,46099
66851.93,3138.66,46103
2775.86,0,46121
84138.36,1800.07,47021
3077994.39,116890.4,47037
3652.9700000000003,0,47051
34751.92,659.85,47065
1154298.71,43426.31,47093
3652.9700000000003,0,47115
9375.36,92.81,47125
48648.369999999995,389.12,47141
25648.7,1094.94,47149
559642.89,30616.32,47157
39781.02,3021.44,47179
553.38,13.36,47183
1095226.13,49843.26,48029
3889729.55,267239.93,48041
10441.48,186.26,48043
198223.25,5630.86,48055
29804.95,0,48061
198223.25,5630.86,48091
2613065.5,145877.52,48113
218814.65,7963.370000000001,48121
7091.1900000000005,405.13,48135
445313.3,9241.12,48141
45625.67,1659.48,48143
830828.32,14296.83,48167
198223.25,5630.86,48187
4787802.34,211190.47,48201
11623.1,0,48203
198223.25,5630.86,48209
66469.21,1794.1599999999999,48215
13236.9,644.77,48231
1790.16,8.43,48235
13199.35,859.8,48245
92429.11,2793.97,48273
940949.05,52480.93,48303
88098.81,6085.5599999999995,48309
22512.18,664.3,48347
188092.28,7315.58,48355
24523.239999999998,1607.25,48381
47947.61,1037.81,48423
641779.74,44107.67,48439
1790.16,8.43,48451
12880873.67,1355391.92,48453
17904.32,112.69,48471
60897.39,152.34,48473
15832.21,499.46,48479
777189.7,22815.32,49005
2109541.66,174426.08,49035
175356.14,19395.46,49049
944.57,193.68,49057
9368.23,20.37,50001
534283.93,13789.119999999999,50007
7784.3099999999995,23.11,50017
7784.3099999999995,23.11,50023
1755726.73,80330.18,51003
718.05,8.42,51023
274758.32,5046.53,51036
40927.83,17.1,51041
40927.83,17.1,51053
461879.31,9427.4,51059
274758.32,5046.53,51095
2317433.72,138824.92,51121
40927.83,17.1,51149
718.05,8.42,51163
1493.74,23.38,51177
274758.32,5046.53,51199
1755726.73,80330.18,51540
461879.31,9427.4,51600
1493.74,23.38,51630
63168.82,0,51650
24574.83,NA,51660
718.05,8.42,51678
5924.1,328.1,51700
594710.8,16990.42,51710
40927.83,17.1,51730
980862.75,34225.23,51760
274758.32,5046.53,51830
5539952.78,182758.08000000002,53033
11400.83,565.77,53037
13390.21,178.3,53053
29996.28,493.09,53061
17766.03,2493.77,53063
781.41,0.95,53067
810.04,0,53071
51150.17,1169.5,53073
1557338.92,63807.060000000005,53075
16083.92,0,54009
92083.88,3074.27,54011
27129,27,54039
16083.92,0,54051
780048.56,39698.94,54061
18845.09,90.33,54069
6239.22,296.13,55009
5207067.5200000005,107258.1,55025
5901.97,268.37,55031
4415.43,200.04,55033
4415.43,200.04,55035
1804.74,404.90999999999997,55043
1804.74,404.90999999999997,55049
16316.82,2153.49,55063
1804.74,404.90999999999997,55065
1340777.99,68498.05,55079
18865.57,303.27,55097
7591.01,60.39999999999999,55139
324173.72,11355.37,56001
1931.1999999999998,0,60010
30220.190000000002,255.12,66010
40733.26,0,72021
6295.23,0,72031
40733.26,0,72035
20123.28,0,72063
4993.7,0,72069
131609.56,8249.44,72097
37149.880000000005,0,72113
368565.25,10817.94,72127
99991.31,0,78030
