stco_code,rd_total,rd_total_biz
06001,3749124.49,378676.51
60010,1931.1999999999998,0
06007,11064.630000000001,617.09
06019,38235.13,775.02
06023,48999.67,3118.63
06029,11617.78,188.81
06037,9894998.9,449593.93
06047,124821.06999999999,3335.1
06053,446817.64,2057.16
06065,652687.95,34444.24
06067,75049.87,2126.29
06071,207993.42,8580.13
06073,7284460.82,462886.66
06075,5304897.32,299949.23
06077,18297.41,1434.91
06079,76723.85,5784.46
06083,1068255,110615.44
06085,4711174.91,375543
06087,703877.17,38119.91
06095,3363818.7199999997,199656.04
06097,5080.389999999999,0
06099,6207.18,1049.29
06111,19986.27,206.01
06113,3341576.9699999997,194799.3
66010,30220.190000000002,255.12
72021,40733.26,0
72031,6295.23,0
72035,40733.26,0
72063,20123.28,0
72069,4993.7,0
72097,131609.56,8249.44
72113,37149.880000000005,0
72127,368565.25,10817.94
78030,99991.31,0
08001,408.14,223.31
08013,1876654.05,56581.66
08031,83640.69,4860.12
08041,267022.15,6734.08
08059,274551.78,75689.58
08069,1523870.5499999998,53761.94
08123,16408.22,173.54999999999998
09003,23249.989999999998,88.84
09007,36387.59,427.57
09009,3634900.35,182384.12
09011,8704.83,0
09013,1188788.04,41722.47
09015,3478.6899999999996,0
