cbsa_code,cbsa_name,year,topmetro,metrosize,Employment at firms 0-5 years old,Jobs,Real GDP,Average Annual Wage,Output per Job,Output per Person,Employment-to-Population Ratio,Median Earnings,Relative Income Poverty Rate
10740,"Albuquerque, NM Metropolitan Statistical Area",2019,1,Large,29643,402731.94,43773571072,47594.293,108691.59,47682.695,0.728907943,34092.63281,0.272508591
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2009,1,Large,25142,333646.25,39037382656,48583.035,117002.32,47735.859,0.720848501,34482.70703,0.260490149
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2010,1,Large,23278,334209.94,39537541120,48531.922,118301.51,48103.703,0.696628094,34531.26953,0.263960063
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2011,1,Large,24831,339296.97,39624458240,48255.59,116784,48033.719,0.718441427,33797.75781,0.307746619
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2012,1,Large,26118,345179.22,40153657344,48261.922,116326.99,48603.703,0.72143954,33128.20313,0.289114952
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2013,1,Large,23429,346538.38,40834654208,48529.664,117835.88,49452.73,0.701128066,32724.41211,0.27312845
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2014,1,Large,24139,350483.28,41943646208,49463.09,119673.74,50627.84,0.741741598,33009.18359,0.283096403
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2015,1,Large,24379,355305.31,43112329216,50718.348,121338.83,51924.113,0.739699662,33980.47266,0.269429773
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2016,1,Large,24049,362131.78,44128116736,50726.75,121856.52,52964.566,0.746119976,36978.21094,0.278387249
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2017,1,Large,24782,367115.91,44291059712,50841.957,120645.99,52858.277,0.740392566,36659.26563,0.273692101
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2018,1,Large,24267,371671.63,45060587520,50432.07,121237.63,53476.379,0.748917699,35557.37109,0.264483869
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",2019,1,Large,26286,377066.63,45530918912,51646.613,120750.33,53943.262,0.749751866,35515.03906,0.266074628
11100,"Amarillo, TX Metropolitan Statistical Area",2009,1,Midsized,10670,114547.04,12264284160,43847.215,107067.66,49180.48,0.735341966,27948.21094,0.257139474
11100,"Amarillo, TX Metropolitan Statistical Area",2010,1,Midsized,9447,113854.56,12660605952,44342.695,111199.81,50108.469,0.75008601,29982.5625,0.251055598
11100,"Amarillo, TX Metropolitan Statistical Area",2011,1,Midsized,9363,115893.8,12547717120,43441.703,108269.09,49019.305,0.719921052,30516.67578,0.247850507
11100,"Amarillo, TX Metropolitan Statistical Area",2012,1,Midsized,8906,116497.48,12910795776,44113.539,110824.69,50080.277,0.717231691,28479.97852,0.256198078
11100,"Amarillo, TX Metropolitan Statistical Area",2013,1,Midsized,8601,117449.48,13197586432,43862.129,112368.2,50976.402,0.724588275,29988.57617,0.272374481
11100,"Amarillo, TX Metropolitan Statistical Area",2014,1,Midsized,8668,118765.68,13364068352,44477.641,112524.66,51240.234,0.730292678,30985.07617,0.265272349
11100,"Amarillo, TX Metropolitan Statistical Area",2015,1,Midsized,9186,120300.17,13821063168,45665.926,114888.14,52829.176,0.729017794,31665.07227,0.253685236
11100,"Amarillo, TX Metropolitan Statistical Area",2016,1,Midsized,9791,121218.97,13772920832,45623.453,113620.18,52371.109,0.740817249,31476.39844,0.234218955
11100,"Amarillo, TX Metropolitan Statistical Area",2017,1,Midsized,9289,120578.6,13641938944,46058.313,113137.31,51609.301,0.729047954,31092.42188,0.235594854
11100,"Amarillo, TX Metropolitan Statistical Area",2018,1,Midsized,10223,121243.08,13733737472,46821.102,113274.41,51941.855,0.741208851,35131.62109,0.252126575
11100,"Amarillo, TX Metropolitan Statistical Area",2019,1,Midsized,10097,122144.21,13866991616,47671.934,113529.67,52317.809,0.729749739,29968.97656,0.217804611
11260,"Anchorage, AK Metropolitan Statistical Area",2009,1,Midsized,17234,184187.95,28952719360,56170.656,157191.17,77297.531,0.727558911,37181.06641,0.267894119
11260,"Anchorage, AK Metropolitan Statistical Area",2010,1,Midsized,15536,185907.52,30484789248,56206.035,163978.25,79583.734,0.729234517,43536.61719,0.265148371
11260,"Anchorage, AK Metropolitan Statistical Area",2011,1,Midsized,16914,188327.13,30906320896,55720.691,164109.77,79671.484,0.740635395,40599.75,0.24409467
11260,"Anchorage, AK Metropolitan Statistical Area",2012,1,Midsized,16192,192016.98,31305633792,56055.527,163035.75,79875.164,0.739921451,38641.23438,0.277019978
11260,"Anchorage, AK Metropolitan Statistical Area",2013,1,Midsized,14034,192464.17,29995546624,55807.477,155850.02,75551.344,0.760246396,41225.69922,0.236864418
11260,"Anchorage, AK Metropolitan Statistical Area",2014,1,Midsized,13186,191925.91,28704086016,56839.398,149558.16,72121.547,0.744075835,42534.82813,0.254566818
11260,"Anchorage, AK Metropolitan Statistical Area",2015,1,Midsized,12815,193073.03,26780764160,58129.867,138707.95,67185.547,0.722150564,36786.58984,0.25401920099999997
11260,"Anchorage, AK Metropolitan Statistical Area",2016,1,Midsized,12564,189397.64,26478848000,56552.633,139805.58,65971.492,0.732025564,40281.58203,0.232042506
11260,"Anchorage, AK Metropolitan Statistical Area",2017,1,Midsized,NA,186810.03,26521628672,55739.688,141971.13,66209.727,0.73320204,41764.91016,0.247844398
11260,"Anchorage, AK Metropolitan Statistical Area",2018,1,Midsized,NA,186514.66,26761641984,56450.848,143482.78,67301.859,0.737915993,41123.89063,0.245285362
11260,"Anchorage, AK Metropolitan Statistical Area",2019,1,Midsized,NA,187399.22,27030130688,57314.996,144238.22,68203.305,0.723737597,44852.94922,0.249126375
11460,"Ann Arbor, MI Metropolitan Statistical Area",2009,1,Midsized,14911,199866.58,22655574016,52993.141,113353.49,65951.25,0.669520199,28981.40039,0.334953129
11460,"Ann Arbor, MI Metropolitan Statistical Area",2010,1,Midsized,14163,203914,23840329728,53013.152,116913.66,68959.094,0.68445164,31871.98828,0.332600206
11460,"Ann Arbor, MI Metropolitan Statistical Area",2011,1,Midsized,14239,207559.02,23605137408,51875.926,113727.35,67490.875,0.666634917,32670.46875,0.345680177
11460,"Ann Arbor, MI Metropolitan Statistical Area",2012,1,Midsized,11947,211800.23,24070230016,52544.434,113645.91,68322.523,0.678631723,29437.30859,0.333065599
11460,"Ann Arbor, MI Metropolitan Statistical Area",2013,1,Midsized,12363,215370.14,24307339264,52539.375,112863.09,68271.375,0.688474953,31650.22461,0.330023825
11460,"Ann Arbor, MI Metropolitan Statistical Area",2014,1,Midsized,12194,216671.08,24366049280,53170.871,112456.41,67679.523,0.695869625,32025.61523,0.320523947
11460,"Ann Arbor, MI Metropolitan Statistical Area",2015,1,Midsized,12976,219874.61,25976358912,54865.133,118141.7,71565.148,0.708953857,29326.86523,0.334226817
11460,"Ann Arbor, MI Metropolitan Statistical Area",2016,1,Midsized,13253,223414.7,26309400576,55453.297,117760.39,71857.109,0.707312822,31239.59961,0.347322315
11460,"Ann Arbor, MI Metropolitan Statistical Area",2017,1,Midsized,12673,228092.36,26854426624,56021.227,117734.88,72814.313,0.714291394,33406.80078,0.322073072
11460,"Ann Arbor, MI Metropolitan Statistical Area",2018,1,Midsized,12952,231638.22,27598514176,56430.543,119144.91,74694.945,0.715798914,34480.98828,0.349751681
11460,"Ann Arbor, MI Metropolitan Statistical Area",2019,1,Midsized,12975,236990.38,27777669120,57365.555,117210.13,75564.727,0.724620223,33826.78906,0.330681175
11700,"Asheville, NC Metropolitan Statistical Area",2009,1,Midsized,19152,172159.75,16280893440,39218.93,94568.523,38579.035,0.677964866,27917.7207,0.275672555
11700,"Asheville, NC Metropolitan Statistical Area",2010,1,Midsized,16864,171817.61,16544111616,39223.516,96288.805,38896.387,0.65914017,27392.23828,0.283675998
11700,"Asheville, NC Metropolitan Statistical Area",2011,1,Midsized,16017,172986.16,16595595264,38712.664,95935.977,38764.52,0.661291718,28359.82617,0.27571848
11700,"Asheville, NC Metropolitan Statistical Area",2012,1,Midsized,17012,175901.64,16660853760,38712.035,94716.875,38661.207,0.683514833,27596.38086,0.250599414
11700,"Asheville, NC Metropolitan Statistical Area",2013,1,Midsized,18223,179744.66,16989634560,38576.504,94520.938,38985.383,0.703450739,26765.73828,0.252210379
11700,"Asheville, NC Metropolitan Statistical Area",2014,1,Midsized,19034,182898.3,17556369408,39066.113,95989.789,39931.605,0.697008014,29872.27344,0.253589839
11700,"Asheville, NC Metropolitan Statistical Area",2015,1,Midsized,18094,187974.59,18435962880,40243.535,98076.891,41467.059,0.68118011999999994,29091.86719,0.256201833
11700,"Asheville, NC Metropolitan Statistical Area",2016,1,Midsized,20792,192774.33,18956531712,40703.227,98335.359,42096.629,0.721936047,29930.76953,0.242194116
11700,"Asheville, NC Metropolitan Statistical Area",2017,1,Midsized,20964,196429.36,19416092672,41204.883,98845.164,42686.332,0.738771141,30915.82617,0.255004346
11700,"Asheville, NC Metropolitan Statistical Area",2018,1,Midsized,21186,200291.06,20449849344,41929.527,102100.66,44522.594,0.745153069,32425.93555,0.251758546
11700,"Asheville, NC Metropolitan Statistical Area",2019,1,Midsized,22340,204265.19,20665065472,42572.801,101167.82,44663.84,0.743157744,32009.84766,0.234405935
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2009,1,Very Large,242064,2262641,303000000000,55271.469,133892.38,57805.824,0.703241944,36050.83594,0.269887835
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2010,1,Very Large,232459,2236049.5,307000000000,55702.051,137469.92,57969.617,0.683732569,34502.90234,0.260241359
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2011,1,Very Large,222073,2280124.3,313000000000,56122.914,137172.53,58282.43,0.682568252,34020.41016,0.259300411
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2012,1,Very Large,222944,2317070.8,318000000000,56513.406,137062.31,58331.281,0.684521437,34492.71484,0.270049244
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2013,1,Very Large,227022,2363380.5,322000000000,56126.125,136332.92,58471.066,0.701384068,33416.5,0.266808808
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2014,1,Very Large,249735,2439665.5,337000000000,56938.605,138235.52,60296.102,0.705463111,33960.5625,0.268697858
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2015,1,Very Large,262068,2515452.8,351000000000,58351.371,139528.66,61726.133,0.726308107,34981.94922,0.258585542
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2016,1,Very Large,260171,2592412,369000000000,59180.957,142213.28,63696.902,0.736003876,37026.01953,0.262498796
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2017,1,Very Large,262641,2662809.5,382000000000,59862.23,143296.22,64976.574,0.742692292,36564.48047,0.25116688
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2018,1,Very Large,261065,2722298.3,395000000000,59847.66,144924.19,66359.422,0.753161013,38576.69141,0.246006861
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",2019,1,Very Large,270020,2794642,398000000000,60831.039,142383.11,66093.977,0.749910355,40072.1875,0.239417017
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2009,1,Midsized,10799,139157.77,14940755968,46123.316,107365.59,54518.555,0.724602342,34013.17578,0.265990168
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2010,1,Midsized,10525,137126.58,14937910272,46093.309,108935.2,54389.293,0.684809983,29941.31836,0.22984986
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2011,1,Midsized,9598,135507.08,14779451392,45770.207,109067.75,53817.633,0.689953864,31843.97656,0.267111629
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2012,1,Midsized,12462,136939.2,14731298816,44564.301,107575.46,53640.727,0.680801213,32833.94531,0.286739975
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2013,1,Midsized,12387,135681.61,14585559040,44158.855,107498.41,53171.031,0.67831409,31510.39258,0.282979548
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2014,1,Midsized,11477,131923.98,14184951808,45040.543,107523.68,52039.973,0.720914781,31995.23047,0.263694406
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2015,1,Midsized,10733,128443.02,14147441664,46221.5,110145.66,52368.254,0.699591458,31901.39453,0.26229494799999997
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2016,1,Midsized,11326,128228.62,13748703232,46278.156,107220.24,51451.453,0.70979023,31572.99609,0.261134923
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2017,1,Midsized,9527,126796.87,13566681088,46735.25,106995.4,51098.996,0.715671778,31207.61719,0.247678414
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2018,1,Midsized,8863,130327.74,14097393664,47008.711,108168.78,53401.441,0.752065599,30634.57031,0.248753861
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",2019,1,Midsized,13721,132420.72,14101947392,47156.648,106493.52,53483.32,0.742354393,34900.82031,0.235621542
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2009,1,Large,23771,225244.73,24288638976,45096.25,107832.22,43520.539,0.66766566,29846.16602,0.251855046
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2010,1,Large,22213,226544.52,24934666240,45331.641,110065.2,44000.23,0.63416189,31947.16211,0.260846317
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2011,1,Large,22286,226180.41,24932116480,45448.121,110231.11,43675.504,0.651573062,31449.62109,0.260715902
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2012,1,Large,21714,225799.95,24926509056,45481.465,110392,43259.715,0.63846612,30794.86328,0.290807128
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2013,1,Large,20528,226773.69,24795582464,44611.559,109340.65,42765.605,0.63692987,29372.51953,0.277434111
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2014,1,Large,21522,233080.16,25361592320,44744.742,108810.6,43498.441,0.647178352,28744.19531,0.286218286
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2015,1,Large,16316,237237.44,26199728128,46167.723,110436.73,44438.402,0.650613129,31918.36133,0.274473816
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2016,1,Large,15044,241511.91,27121836032,47226.863,112300.21,45580.699,0.661062658,29710.81641,0.247613311
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2017,1,Large,15695,245570.22,28137951232,47814.621,114582.09,46875.023,0.663637817,27023.54688,0.258020967
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2018,1,Large,15254,249692.5,28941965312,47726.844,115910.43,47899.633,0.694350719,30507.61914,0.260019958
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",2019,1,Large,16763,253767.69,29168236544,49038.859,114940.7,47896.871,0.674798667,31178.77539,0.249784902
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2009,1,Very Large,94034,779976.44,94972551168,53824.078,121763.36,56452.719,0.74437964,34458.67188,0.247128248
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2010,1,Very Large,88518,790744.25,101000000000,54579.543,127836.15,58515.531,0.723975956,34518.42969,0.267310411
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2011,1,Very Large,94189,814222.56,104000000000,55322.289,127740.2,58414.438,0.729570508,34038.08594,0.260979384
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2012,1,Very Large,94551,845399.5,110000000000,55919.477,129667.81,59752.5,0.729644895,32993.38672,0.253647536
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2013,1,Very Large,96788,876091.44,115000000000,55578.348,131039.17,60957.563,0.754099965,34041.85156,0.256691694
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2014,1,Very Large,102548,912464.94,120000000000,56872.484,131170.55,61616.762,0.745133758,34521.70703,0.268466204
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2015,1,Very Large,113627,953971.13,130000000000,59078.98,136455.42,65017.895,0.756575525,37111.59766,0.245524704
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2016,1,Very Large,123329,985718.5,133000000000,59464.398,134960.52,64516.027,0.770281971,39055.72266,0.249057814
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2017,1,Very Large,124154,1016863.7,141000000000,60931.359,139060.67,66843.492,0.769368947,41677.76172,0.248394072
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2018,1,Very Large,129071,1052204,147000000000,62294.898,140096.72,68072.289,0.766175389,41060.99609,0.252727121
12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",2019,1,Very Large,138706,1094249.6,152000000000,64789.711,138591.53,68095.227,0.785478711,40138.40625,0.238147095
12540,"Bakersfield, CA Metropolitan Statistical Area",2009,1,Large,48401,277520.28,34684772352,46740.566,124981.05,41781.988,0.595397234,27898.79297,0.267323911
12540,"Bakersfield, CA Metropolitan Statistical Area",2010,1,Large,45231,278316.66,34748674048,47262.773,124853.03,41318.48,0.577982664,27389.31836,0.2743586
12540,"Bakersfield, CA Metropolitan Statistical Area",2011,1,Large,46003,289494,35792203776,46705.543,123637.12,42209.281,0.596717775,26341.05469,0.27200079
12540,"Bakersfield, CA Metropolitan Statistical Area",2012,1,Large,47304,309939.66,36853764096,46378.242,118906.26,43174.211,0.595631599,25315.42969,0.260682315
12540,"Bakersfield, CA Metropolitan Statistical Area",2013,1,Large,40117,314945,37951160320,46185.961,120500.91,44026.867,0.599473655,26916.74805,0.2692357
12540,"Bakersfield, CA Metropolitan Statistical Area",2014,1,Large,37185,322392.28,40274726912,46679.949,124924.6,46336.676,0.591488779,26801.22266,0.278297067
12540,"Bakersfield, CA Metropolitan Statistical Area",2015,1,Large,35755,322200.38,40874143744,47054.719,126859.39,46658.332,0.625786066,28495.29102,0.244471908
12540,"Bakersfield, CA Metropolitan Statistical Area",2016,1,Large,36015,324265.19,39929556992,46578.148,123138.59,45330.406,0.611371398,28305.52734,0.258439243
12540,"Bakersfield, CA Metropolitan Statistical Area",2017,1,Large,40725,327045.63,40044834816,46691.391,122444.2,45128.266,0.606086314,27753.23633,0.260748625
12540,"Bakersfield, CA Metropolitan Statistical Area",2018,1,Large,42276,335557.47,41719865344,47187.457,124330.02,46679.152,0.612122893,28444.20898,0.225155935
12540,"Bakersfield, CA Metropolitan Statistical Area",2019,1,Large,40685,342406.5,42827091968,48273.621,125076.74,47574.98,0.627185702,29879.95117,0.230264202
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2009,1,Very Large,107004,1307819.5,177000000000,57606.852,135356,65660.258,0.731163502,44108.63281,0.264110535
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2010,1,Very Large,97916,1304440.8,182000000000,58171.82,139723.11,67112.703,0.723916829,43665.11719,0.272102565
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2011,1,Very Large,95804,1318791.4,185000000000,57997.875,140257.56,67660.938,0.719878256,44183.84766,0.274149477
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2012,1,Very Large,94398,1346809.9,187000000000,58359.16,139111.64,68015.109,0.726834893,43626.96484,0.270903528
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2013,1,Very Large,96094,1362040.4,187000000000,57814.969,137432.47,67620.227,0.739077926,43569.29297,0.271787703
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2014,1,Very Large,96296,1371140.1,189000000000,58534.211,138204.72,68163.414,0.738054812,42555.52344,0.271756798
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2015,1,Very Large,99679,1394370,192000000000,60177.539,137794.66,68864.906,0.738938749,42637.91406,0.260172099
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2016,1,Very Large,104082,1412563.4,200000000000,60475.328,141331.63,71450.234,0.753098726,44095.52344,0.265058994
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2017,1,Very Large,105381,1424871.9,201000000000,60939.848,141034.86,71803.367,0.751428485,46106.36719,0.283340842
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2018,1,Very Large,101722,1438423.1,206000000000,61109.828,143154.69,73522.281,0.759082079,46190.03516,0.271711797
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2019,1,Very Large,101906,1444938.8,207000000000,62088.984,143007.58,73797.602,0.764505804,46194.39453,0.255826712
12940,"Baton Rouge, LA Metropolitan Statistical Area",2009,1,Large,37198,384485.59,48057061376,48604.648,124990.53,58648.727,0.692954302,32462.92969,0.281743824
12940,"Baton Rouge, LA Metropolitan Statistical Area",2010,1,Large,34391,378147.66,50766123008,48059.965,134249.47,61339.227,0.680794179,33872.70313,0.274651647
12940,"Baton Rouge, LA Metropolitan Statistical Area",2011,1,Large,33905,381172.84,50058702848,47643.012,131328.09,60203.398,0.691194952,33634.98828,0.298283786
12940,"Baton Rouge, LA Metropolitan Statistical Area",2012,1,Large,36957,386170.19,51531923456,48273.59,133443.56,61626.535,0.697244763,32826.19141,0.297929257
12940,"Baton Rouge, LA Metropolitan Statistical Area",2013,1,Large,31083,394609.13,50342395904,48867.785,127575.34,59790.063,0.689091802,33416.53906,0.301868498
12940,"Baton Rouge, LA Metropolitan Statistical Area",2014,1,Large,32528,403744.84,51552727040,49558.5,127686.41,60877.52,0.709719658,32053.94531,0.266263425
12940,"Baton Rouge, LA Metropolitan Statistical Area",2015,1,Large,33349,410680.91,52058935296,51001.16,126762.49,61161.832,0.69234705,32981.90625,0.277006358
