cbsa_code,year,cbsa_name,top100,keep,largest,large,midsized,Employment at firms 0-5 years old,Jobs,Real GDP,Average Annual Wage,Output per Job,Output per Person,Median Earnings,Employment Rate,Relative Income Poverty Rate
10580,2017,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,27626,444992.3808,63494560562,55237.58629,142686.8488,71978.68859,38994.26172,0.739236116,0.268871188
10580,2018,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,30234,447820.956,65203949409,55470.13105,145602.7203,73829.52686,40333.82813,0.751541018,0.276270419
10740,2008,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,43547,381475.7215,42154923775,45181.32894,110504.8667,48825.28817,31093.375,0.729323745,0.254273802
10740,2009,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,42514,365536.768,41935275908,46289.69814,114722.4563,47846.84991,32032.55664,0.713692069,0.247707114
10740,2010,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,35770,358539.1525,41388639424,45966.64692,115436.8753,46526.35916,32832.40625,0.685850441,0.263667524
10740,2011,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,34696,357106.8586,41125392381,45578.40106,115162.7066,45797.51775,32445.89844,0.660324454,0.279167801
10740,2012,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,31745,355094.1287,41531653230,45391.7993,116959.5605,46043.09368,32403.28125,0.665661335,0.263096392
10740,2013,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,31820,357577.9566,40268491474,44768.93108,112614.5802,44488.19696,30061.19141,0.66625607,0.273332655
10740,2014,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,34062,359780.1421,40677529663,45112.91643,113062.1869,44954.898330000004,29350.91406,0.668383002,0.260665894
10740,2015,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,32171,364780.6937,41176842155,45839.95547,112881.0895,45421.57961,28991.70508,0.678815544,0.245035738
10740,2016,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,34208,370578.519,42824682124,46053.6568,115561.6959,47068.72813,31212.70117,0.692990541,0.255642295
10740,2017,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,33019,373874.0333,42537866364,45927.08901,113775.9314,46596.56715,30738.17188,0.692522407,0.255505502
10740,2018,"Albuquerque, NM Metropolitan Statistical Area",1,1,0,1,0,33428,378000.3031,43086926344,46219.77398,113986.4862,47041.87817,30070.29883,0.707226574,0.244653404
10900,2008,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,29131,330729.9466,39518460742,48792.72453,119488.6074,48545.49566,35077.38281,0.755303264,0.26708433
10900,2009,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,29873,319836.0734,38453202291,48963.70176,120227.8463,47021.50861,33976.69141,0.720848501,0.260490149
10900,2010,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,27380,320296.6468,38930047268,48948.75396,121543.7241,47365.1103,34024.54297,0.696628094,0.263960063
10900,2011,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,27649,325289.1589,39013851408,48620.79005,119935.9104,47297.37109,33301.79688,0.718441427,0.307746619
10900,2012,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,26605,330706.5831,39514169169,48652.02459,119484.0719,47829.92834,32642.06445,0.72143954,0.289114952
10900,2013,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,27088,333588.2818,40211081886,48744.17098,120541.0504,48694.48982,32244.20117,0.701128066,0.27312845
10900,2014,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,24944,337334.6549,41301456435,49643.89507,122434.6679,49846.00955,32524.79102,0.741741598,0.283096403
10900,2015,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,24018,342227.5935,42387697540,50890.43491,123858.2111,51047.3126,33481.82813,0.739699662,0.269429773
10900,2016,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,23824,348840.7387,43380131513,50904.71233,124355.1188,52067.98766,36435.57813,0.746119976,0.278387249
10900,2017,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,24881,353347.1333,43525161357,51166.90335,123179.608,51934.31346,36121.3125,0.740392566,0.273692101
10900,2018,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,1,0,1,0,27521,357954.8085,44242321983,50662.78925,123597.5071,52487.41209,35035.58594,0.748917699,0.264483869
11100,2008,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,11427,111997.7766,12251224118,43813.70964,109388.1012,49709.17608,27975.79102,0.774565995,0.275179952
11100,2009,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,11681,109038.8045,12188373573,43528.62009,111780.1468,48876.07549,27538.08789,0.735341966,0.257139474
11100,2010,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,10227,108265.9944,12554428256,44186.27803,115959.1091,49685.67878,29542.58594,0.75008601,0.251055598
11100,2011,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9417,110085.7545,12393976224,43276.73348,112584.7416,48419.26548,30068.86133,0.719921052,0.247850507
11100,2012,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9910,110596.0344,12785018644,43875.22248,115601.0586,49588.74042,28062.05078,0.717231691,0.256198078
11100,2013,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9265,111690.3903,13077717505,43756.10413,117089.0125,50505.20783,29548.51172,0.724588275,0.272374481
11100,2014,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,8900,113051.76,13268755535,44232.53103,117368.8542,50862.69822,30530.38867,0.730292678,0.265272349
11100,2015,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9076,114500.7086,13699745312,45449.53876,119647.6902,52328.25057,31200.40625,0.729017794,0.253685236
11100,2016,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9691,115419.7277,13653297967,45446.46165,118292.5851,51849.21397,31014.5,0.740817249,0.234218955
11100,2017,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9585,114780.84,13525300988,45889.16359,117835.8774,51047.5401,30636.1582,0.729047954,0.235594854
11100,2018,"Amarillo, TX Metropolitan Statistical Area",1,1,0,0,1,9344,115488.859,13614033067,46579.61588,117881.7869,51190.77511,34616.08594,0.741208851,0.252126575
11260,2008,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,18128,166112.0149,30869186707,53765.60031,185833.5577,84426.69756,39650.07813,0.753492057,0.260455251
11260,2009,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,16996,166033.7314,28661135233,55539.20839,172622.3641,76519.06823,36635.45703,0.727558911,0.267894119
11260,2010,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,16836,167702.5925,30080304511,55639.01127,179366.9618,78529.42738,42897.74219,0.729234517,0.265148371
11260,2011,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,16174,170640.2261,30505810131,55195.28257,178772.6776,78649.57365,40003.97266,0.740635395,0.24409467
11260,2012,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,16467,173792.2888,30929218032,55449.66507,177966.5729,78920.59523,38074.19531,0.739921451,0.277019978
11260,2013,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,15631,174424.0313,29632522329,55356.80069,169887.8424,74635.09825,40620.73438,0.760246396,0.236864418
11260,2014,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,14810,174773.4804,28407388585,56542.87162,162538.324,71369.78925,41910.65234,0.744075835,0.254566818
11260,2015,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,13636,177028.0675,26578070672,57900.77673,150134.7839,66665.00453,36246.76953,0.722150564,0.25401920099999997
11260,2016,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,13569,173962.6446,26253642690,56223.57316,150915.4034,65409.58831,39690.47266,0.732025564,0.232042506
11260,2017,"Anchorage, AK Metropolitan Statistical Area",1,1,0,0,1,13776,171687.2953,26280026754,55371.46529,153069.1407,65593.96864,41152.03516,0.73320204,0.247844398
11460,2008,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,16863,186888.2208,22703593427,56036.82458,121482.2065,66463.48286,30089.02539,0.65600121,0.329709262
11460,2009,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,16245,181174.8993,22230286809,56064.89579,122700.6991,64713.22429,28556.11523,0.669520199,0.334953129
11460,2010,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,14661,186352.0854,23402966883,55757.42339,125584.6793,67705.55544,31404.28516,0.68445164,0.332600206
11460,2011,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,14484,189450.6176,23181691285,54683.91639,122362.7116,66294.77369,32191.04883,0.666634917,0.345680177
11460,2012,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,13379,193613.8578,23626092929,55323.77159,122026.8694,67069.66102,29005.33398,0.678631723,0.333065599
11460,2013,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,12780,197234.4526,23870375457,55236.39863,121025.3845,67048.79136,31185.77539,0.688474953,0.330023825
11460,2014,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,13445,198660.0814,23937207884,55886.10396,120493.2954,66485.78023,31555.6582,0.695869625,0.320523947
11460,2015,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,12787,202446.9958,25476006436,57679.74643,125840.3778,70160.76835,28896.50977,0.708953857,0.334226817
11460,2016,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,12871,206161.1387,25798426691,58220.69352,125137.1954,70393.64643,30781.17578,0.707312822,0.347322315
11460,2017,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,13024,210213.8723,26307862101,58888.3549,125148.0781,71254.85391,32916.57422,0.714291394,0.322073072
11460,2018,"Ann Arbor, MI Metropolitan Statistical Area",1,1,0,0,1,12982,213269.1693,27048596670,59388.47985,126828.443,72914.54045,33975,0.715798914,0.349751681
11700,2008,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,22534,173280.1428,16802506768,39104.51723,96967.29527,40249.67067,28049.14453,0.726534367,0.26361984
11700,2009,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,23452,164035.7846,16002339371,39381.58317,97553.95391,37918.9775,27508.04492,0.677964866,0.275672555
11700,2010,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,19500,164102.5658,16258033345,39304.06891,99072.38968,38223.79695,26990.27344,0.65914017,0.283675998
11700,2011,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,17295,165289.1992,16305618352,38836.95327,98649.02503,38090.74236,27943.66211,0.661291718,0.27571848
11700,2012,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,16044,167794.1405,16369178139,38890.14421,97555.12373,37983.85,27191.41992,0.683514833,0.250599414
11700,2013,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,18271,171705.6262,16698470843,38760.14518,97250.5748,38314.79945,26372.9668,0.703450739,0.252210379
11700,2014,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,19522,174476.9597,17249384463,39237.83903,98863.39432,39228.55591,29433.91602,0.697008014,0.253589839
11700,2015,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,18322,179681.0115,18097621231,40425.02943,100720.8335,40698.71845,28664.96094,0.68118011999999994,0.256201833
11700,2016,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,18632,184999.3543,18604158267,40799.16328,100563.3686,41300.44747,29491.55273,0.721936047,0.242194116
11700,2017,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,20447,188134.3284,19053111423,41375.81934,101273.9758,41851.51492,30462.1543,0.738771141,0.255004346
11700,2018,"Asheville, NC Metropolitan Statistical Area",1,1,0,0,1,20405,192817.8687,20053716195,41914.03147,104003.4118,43634.40102,31950.10352,0.745153069,0.251758546
12060,2008,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,311413,2305539.392,311000000000,55111.95625,134740.4968,60085.79778,37053.23047,0.746633708,0.263750523
12060,2009,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,293401,2166999.459,297000000000,55264.71366,137263.5668,56756.31312,35521.8125,0.703241944,0.269887835
12060,2010,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,252788,2141620.031,302000000000,55670.65807,140890.3393,56901.84288,33996.59375,0.683732569,0.260241359
12060,2011,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,229452,2180239.249,307000000000,55972.09229,140829.6393,57217.27325,33521.17969,0.682568252,0.259300411
12060,2012,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,227363,2216031.63,312000000000,56411.64065,140670.0802,57253.06078,33986.55469,0.684521437,0.270049244
12060,2013,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,231730,2269176.986,316000000000,56109.84243,139430.9434,57407.90151,32926.13281,0.701384068,0.266808808
12060,2014,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,250412,2343840.9,331000000000,56900.72802,141268.7107,59184.68471,33462.21094,0.705463111,0.268697858
12060,2015,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,253527,2419865.366,344000000000,58321.17272,142218.4528,60501.46377,34468.60938,0.726308107,0.258585542
12060,2016,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,253271,2497316.026,362000000000,59119.3448,144785.1225,62445.02972,36482.68359,0.736003876,0.262498796
12060,2017,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,264777,2567057.83,374000000000,59776.08861,145729.84,63684.21339,36027.91797,0.742692292,0.25116688
12060,2018,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,1,1,0,0,264528,2622428.71,387000000000,59855.40126,147520.9357,65019.55011,38010.60156,0.753161013,0.246006861
12100,2008,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,12757,143955.5792,16079564178,46285.89563,111698.0965,58896.48215,34964.28125,0.740534544,0.257442594
12100,2009,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,12070,135760.119,14579377495,45752.73044,107390.7242,53199.89307,33514.05078,0.724602342,0.265990168
12100,2010,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,11250,133681.234,14576488349,45760.57583,109039.1517,53073.15282,29501.94727,0.684809983,0.22984986
12100,2011,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,11348,132159.2239,14451884528,45422.38532,109352.0687,52627.70853,31376.68555,0.689953864,0.267111629
12100,2012,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,12280,133516.8289,14365834313,44194.70696,107595.6824,52305.77829,32352.12695,0.680801213,0.286739975
12100,2013,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,13147,132265.7753,14252951383,43802.72708,107759.9353,51948.11142,31047.99609,0.67831409,0.282979548
12100,2014,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,11623,128454.4769,13857337823,44671.69508,107877.4221,50823.52056,31525.71875,0.720914781,0.263694406
12100,2015,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,11231,124919.7245,13825410211,45867.55604,110674.3572,51116.05389,31433.25977,0.699591458,0.26229494799999997
12100,2016,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,10903,124855.1774,13412613238,45967.43668,107425.3668,50082.0096,31109.67969,0.70979023,0.261134923
12100,2017,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,11349,123401.0611,13244243171,46399.81681,107326.8176,49729.06781,30749.66406,0.715671778,0.247678414
12100,2018,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,1,0,0,1,10125,126856.5122,13760188384,46642.52089,108470.4927,51841.31494,30185.02539,0.752065599,0.248753861
12260,2008,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,22005,209484.0694,23663498419,43570.63175,112960.8494,42820.0186,31488.7832,0.68301481,0.273929745
12260,2009,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,21765,202200.1723,23884640117,44459.3518,118123.7377,42796.65168,29408.19141,0.66766566,0.251855046
12260,2010,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,23332,203638.9491,24511247790,44661.41233,120366.2064,43268.48003,31478.35547,0.63416189,0.260846317
12260,2011,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,22139,204830.6763,24504685742,44657.46247,119633.8663,42945.77204,30988.11523,0.651573062,0.260715902
12260,2012,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,22609,204425.6211,24494654724,44687.37021,119821.8432,42523.89188,30342.9668,0.63846612,0.290807128
12260,2013,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,21616,204960.2481,24371667791,43853.01268,118909.2422,42043.8209,28941.49414,0.63692987,0.277434111
12260,2014,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,22097,210390.7671,24918878276,44012.25286,118440.9308,42745.9474,28322.39063,0.647178352,0.286218286
12260,2015,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,22902,214522.7566,25714456754,45335.88132,119868.2003,43622.56776,31449.97852,0.650613129,0.274473816
12260,2016,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,16325,219463.6762,26622003213,46435.73249,121304.8267,44750.83496,29274.82813,0.661062658,0.247613311
12260,2017,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,15952,222836.547,27596426402,47100.3354,123841.5636,45993.58407,26626.99219,0.663637817,0.258020967
12260,2018,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,1,0,1,0,16294,226287.9653,28351394858,46983.44625,125289.0087,46926.42077,30059.9375,0.694350719,0.260019958
12420,2008,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,99505,768355.2911,95796708137,54325.35282,124677.6189,58631.78107,34991.54688,0.762599349,0.258151203
12420,2009,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,103052,748260.1961,93769206064,54179.55349,125316.3092,55737.43568,33953.01172,0.74437964,0.247128248
12420,2010,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,93953,758549.5438,99810515312,54992.85339,131580.7466,57776.49642,34011.89063,0.723975956,0.267310411
12420,2011,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,95558,782559.6385,103000000000,55630.91144,131055.5944,57597.73707,33538.59766,0.729570508,0.260979384
12420,2012,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,94661,812841.1537,108000000000,56256.01667,133128.7759,58973.79393,32509.22656,0.729644895,0.253647536
12420,2013,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,98994,845899.8401,113000000000,55776.60154,134026.462,60179.89414,33542.30859,0.754099965,0.256691694
12420,2014,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,103033,881819.7237,118000000000,57030.48902,134179.1797,60883.65712,34015.12109,0.745133758,0.268466204
12420,2015,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,105740,923012.6945,128000000000,59150.6836,139187.0969,64152.61896,36567.00781,0.756575525,0.245524704
12420,2016,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,116444,953459.0024,131000000000,59550.08581,137633.8371,63634.72073,38482.60156,0.770281971,0.249057814
12420,2017,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,126368,984597.8078,139000000000,61048.25259,141648.1378,65934.41183,41066.16406,0.769368947,0.248394072
12420,2018,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",1,1,1,0,0,134095,1020542.318,145000000000,62384.23488,142516.5752,67077.02937,40458.44922,0.766175389,0.252727121
12540,2008,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,56953,284964.9878,35238593240,45325.02145,123659.3783,43061.75067,28027.07617,0.629725397,0.270702749
12540,2009,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,51295,268086.7603,34637567470,46016.53281,129202.8276,41725.12184,27489.39453,0.595397234,0.267323911
12540,2010,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,48290,268335.0367,34691293523,46618.02272,129283.503,41246.52054,26987.39648,0.577982664,0.2743586
12540,2011,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,46219,279128.6518,35694371771,46095.31377,127877.8497,42085.47147,25954.51563,0.596717775,0.27200079
12540,2012,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,44110,294425.7281,36830322844,46269.85041,125092.0668,43128.71031,24943.93945,0.595631599,0.260682315
12540,2013,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,38486,304478.8458,37943727900,45497.64292,124618.6013,43989.82085,26521.75977,0.599473655,0.2692357
12540,2014,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,37536,311991.5479,40378230990,45965.3823,129420.913,46414.05379,26407.92969,0.591488779,0.278297067
12540,2015,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,35364,312020.9587,41088127082,46319.99036,131683.8691,46840.25034,28077.13867,0.625786066,0.244471908
12540,2016,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,35945,314214.7579,40045490192,45871.04653,127446.2424,45384.47437,27890.16016,0.611371398,0.258439243
12540,2017,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,37240,316660.6226,40064470434,45997.00388,126521.7952,45067.50421,27345.97266,0.606086314,0.260748625
12540,2018,"Bakersfield, CA Metropolitan Statistical Area",1,1,0,1,0,40553,324813.2257,41699281257,46540.48383,128379.2591,46499.72708,28026.80664,0.612122893,0.225155935
12580,2008,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,133755,1250979.742,174000000000,55596.76691,139244.5768,65001.45899,42073.97656,0.761458516,0.254326075
12580,2009,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,123051,1209641.334,174000000000,56525.14473,143475.3999,64374.1155,43461.36328,0.731163502,0.264110535
12580,2010,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,106314,1207475.569,179000000000,57011.66738,147985.2082,65797.69959,43024.35547,0.723916829,0.272102565
12580,2011,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,102692,1221243.535,181000000000,56811.58487,148464.1845,66328.08054,43535.47656,0.719878256,0.274149477
12580,2012,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,97249,1247159.19,184000000000,57251.62686,147255.3968,66670.36521,42986.76563,0.726834893,0.270903528
12580,2013,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,1,1,0,0,100785,1260626.748,184000000000,56757.89758,145568.1013,66286.94032,42929.9375,0.739077926,0.271787703
