cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
12420,"Austin-Round Rock, TX",327,669660,253749,71784,3.63,Normal range,0.02,0.07,0.91
12540,"Bakersfield, CA",143,259031,166530,51858,3.32,Normal range,0.03,0.02,0.94
12580,"Baltimore-Columbia-Towson, MD",649,1000000,270589,76233,3.54,Normal range,0.02,0.02,0.96
12620,"Bangor, ME",46,61787,132824,45248,3.06,Normal range,0.04,0.02,0.93
12700,"Barnstable Town, MA",55,94121,391315,65835,6.18,High,0,0.35,0.65
12940,"Baton Rouge, LA",146,296230,159060,52385,3.2,Normal range,0.03,0.01,0.96
12980,"Battle Creek, MI",38,52331,94532,43352,2.15,Low,0.29,0,0.71
13020,"Bay City, MI",26,43714,94446,44284,2.22,Low,0.31,0,0.69
13140,"Beaumont-Port Arthur, TX",105,151403,97625,47526,2.14,Low,0.43,0.01,0.56
13220,"Beckley, WV",29,48725,96917,39378,2.46,Normal range,0.21,0,0.79
13380,"Bellingham, WA",33,80140,290058,55091,5.67,High,0,0.21,0.79
13460,"Bend-Redmond, OR",24,67880,295017,57059,5.18,High,0,0.21,0.79
13740,"Billings, MT",38,67174,197126,55200,3.65,Normal range,0.03,0,0.97
13780,"Binghamton, NY",63,97003,109825,49476,2.33,Low,0.3,0,0.7
13820,"Birmingham-Hoover, AL",259,432949,154187,51984,2.95,Normal range,0.06,0.02,0.92
13900,"Bismarck, ND",27,52539,191870,65629,2.97,Normal range,0.15,0,0.85
13980,"Blacksburg-Christiansburg-Radford, VA",32,68509,180344,47247,4.34,High,0.03,0.13,0.84
14010,"Bloomington, IL",45,72417,146533,62790,2.47,Normal range,0.22,0,0.78
14020,"Bloomington, IN",31,57090,159129,50719,3.31,Normal range,0,0.06,0.94
14100,"Bloomsburg-Berwick, PA",19,33717,150805,49222,3.17,Normal range,0,0,1
14260,"Boise City, ID",95,240902,182470,53499,3.52,Normal range,0,0.01,0.99
14460,"Boston-Cambridge-Newton, MA-NH",958,1700000,418765,84274,5.34,High,0,0.21,0.79
14500,"Boulder, CO",66,119966,437955,79494,6.19,High,0,0.21,0.79
14540,"Bowling Green, KY",38,63544,132018,44759,3.5,Normal range,0.05,0.05,0.89
14740,"Bremerton-Silverdale, WA",51,96418,271275,68434,3.96,Normal range,0,0,1
14860,"Bridgeport-Stamford-Norwalk, CT",205,331205,523555,105657,4.72,High,0,0.14,0.86
15180,"Brownsville-Harlingen, TX",84,121290,78530,33560,2.39,Normal range,0.25,0,0.75
15260,"Brunswick, GA",21,44253,165548,46534,3.36,Normal range,0.1,0.05,0.86
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",288,468538,121390,51768,2.38,Normal range,0.32,0.02,0.67
15500,"Burlington, NC",36,62053,144906,46148,3.22,Normal range,0,0,1
15540,"Burlington-South Burlington, VT",46,85389,276409,65402,4.61,High,0,0.13,0.87
15680,"California-Lexington Park, MD",16,38574,295119,87239,3.43,Normal range,0,0,1
15940,"Canton-Massillon, OH",92,161299,114745,49406,2.34,Low,0.22,0,0.78
15980,"Cape Coral-Fort Myers, FL",164,256513,204698,53904,3.57,Normal range,0.09,0.04,0.87
16020,"Cape Girardeau, MO-IL",23,37170,113457,41041,2.77,Normal range,0.13,0,0.87
16060,"Carbondale-Marion, IL",28,48822,109471,43021,2.89,Normal range,0.21,0.07,0.71
16180,"Carson City, NV",13,21802,206277,52082,3.91,Normal range,0.08,0,0.92
16220,"Casper, WY",18,32422,195033,60334,3.22,Normal range,0,0,1
16300,"Cedar Rapids, IA",57,106405,143274,59610,2.47,Normal range,0.05,0,0.95
16540,"Chambersburg-Waynesboro, PA",27,59392,170811,54952,3.24,Normal range,0,0.04,0.96
16580,"Champaign-Urbana, IL",45,84697,141411,57261,2.54,Normal range,0.16,0,0.84
16620,"Charleston, WV",64,94549,107142,45215,2.42,Normal range,0.28,0.02,0.7
16700,"Charleston-North Charleston, SC",150,271468,253692,57063,4.39,High,0.01,0.12,0.87
16740,"Charlotte-Concord-Gastonia, NC-SC",528,875751,185467,59346,3.12,Normal range,0.02,0.01,0.98
16820,"Charlottesville, VA",45,83827,285996,63285,4.75,High,0,0.09,0.91
16860,"Chattanooga, TN-GA",116,208387,153025,49189,3.19,Normal range,0,0.02,0.98
16940,"Cheyenne, WY",19,36798,195779,63077,3.09,Normal range,0.05,0,0.95
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2167,3400000,238327,66370,3.76,Normal range,0.03,0.06,0.91
17020,"Chico, CA",50,83930,226164,46759,5.16,High,0,0.16,0.84
17140,"Cincinnati, OH-KY-IN",480,815308,154865,58066,2.8,Normal range,0.09,0.01,0.9
17300,"Clarksville, TN-KY",55,94122,131749,47109,2.86,Normal range,0.04,0,0.96
17420,"Cleveland, TN",24,45944,130517,41271,3.29,Normal range,0,0.04,0.96
17460,"Cleveland-Elyria, OH",620,836168,130128,51722,2.62,Normal range,0.16,0.02,0.82
17660,"Coeur d'Alene, ID",25,57213,216564,53002,4.07,Normal range,0,0,1
17780,"College Station-Bryan, TX",47,81738,155255,51189,3.59,Normal range,0.15,0.09,0.77
17820,"Colorado Springs, CO",130,254885,227603,62554,3.76,Normal range,0.01,0.02,0.97
17860,"Columbia, MO",27,66057,166537,52433,3.62,Normal range,0,0.04,0.96
17900,"Columbia, SC",182,296949,147634,51642,2.94,Normal range,0.07,0.02,0.91
17980,"Columbus, GA-AL",67,106538,126564,42443,3.08,Normal range,0.07,0.03,0.9
18020,"Columbus, IN",15,31073,144647,58057,2.45,Normal range,0.07,0,0.93
18140,"Columbus, OH",414,744816,161125,60420,2.71,Normal range,0.07,0.01,0.92
18580,"Corpus Christi, TX",99,160663,121820,54472,2.25,Low,0.4,0,0.6
18700,"Corvallis, OR",17,32144,283306,53221,6.82,Very high,0,0.29,0.71
18880,"Crestview-Fort Walton Beach-Destin, FL",51,99903,209404,55912,3.67,Normal range,0,0.04,0.96
19060,"Cumberland, MD-WV",30,39456,119143,40903,2.95,Normal range,0.1,0,0.9
19100,"Dallas-Fort Worth-Arlington, TX",1238,2300000,188427,68771,2.7,Normal range,0.21,0.02,0.76
19140,"Dalton, GA",26,49080,112319,41308,2.74,Normal range,0.12,0,0.88
19180,"Danville, IL",24,31540,73779,43831,1.68,Very low,0.92,0,0.08
19300,"Daphne-Fairhope-Foley, AL",31,75149,181829,50195,3.62,Normal range,0.03,0,0.97
19340,"Davenport-Moline-Rock Island, IA-IL",104,154336,124087,52580,2.35,Low,0.21,0.01,0.78
19380,"Dayton, OH",206,326331,118541,49995,2.45,Normal range,0.23,0,0.77
19460,"Decatur, AL",36,59485,114831,45901,2.54,Normal range,0.03,0,0.97
19500,"Decatur, IL",34,44860,82174,46528,1.8,Very low,0.76,0,0.24
19660,"Deltona-Daytona Beach-Ormond Beach, FL",133,243460,150881,44595,3.33,Normal range,0.03,0.02,0.95
19740,"Denver-Aurora-Lakewood, CO",601,1000000,305822,74950,4.21,Normal range,0.01,0.07,0.91
19780,"Des Moines-West Des Moines, IA",129,234463,159409,63523,2.52,Normal range,0.06,0,0.94
19820,"Detroit-Warren-Dearborn, MI",1251,1600000,133117,56972,2.22,Low,0.4,0,0.6
20020,"Dothan, AL",34,56851,103112,39452,2.65,Normal range,0.09,0,0.91
20100,"Dover, DE",31,60984,197032,53817,3.8,Normal range,0,0.03,0.97
20220,"Dubuque, IA",26,38006,146900,57269,2.57,Normal range,0.04,0,0.96
20260,"Duluth, MN-WI",83,114767,138072,49964,2.85,Normal range,0.11,0,0.89
20500,"Durham-Chapel Hill, NC",100,206828,227193,59345,4.03,Normal range,0,0.07,0.93
20700,"East Stroudsburg, PA",33,57127,173239,58572,3.01,Normal range,0.03,0,0.97
20740,"Eau Claire, WI",30,64309,155707,52788,3.07,Normal range,0,0.03,0.97
20940,"El Centro, CA",30,45740,143760,43941,3.51,Normal range,0.03,0.03,0.93
21340,"El Paso, TX",153,254949,113315,42148,2.81,Normal range,0.08,0,0.92
21060,"Elizabethtown-Fort Knox, KY",29,54288,131597,48240,2.79,Normal range,0.03,0,0.97
21140,"Elkhart-Goshen, IN",36,70822,121536,48923,2.5,Normal range,0.08,0,0.92
21300,"Elmira, NY",20,33931,95385,47966,2.06,Low,0.5,0,0.5
21500,"Erie, PA",69,108812,112838,48106,2.35,Low,0.23,0,0.77
21660,"Eugene, OR",84,142138,233510,48799,5.16,High,0,0.12,0.88
21780,"Evansville, IN-KY",77,126521,110873,46359,2.49,Normal range,0.14,0.01,0.84
21820,"Fairbanks, AK",17,32459,214100,71140,3.18,Normal range,0,0,1
22020,"Fargo, ND-MN",44,89988,170993,57963,3.11,Normal range,0.05,0.02,0.93
22140,"Farmington, NM",33,41036,133867,49837,2.72,Normal range,0.12,0,0.88
22180,"Fayetteville, NC",66,135836,126856,43412,2.97,Normal range,0.02,0.02,0.97
22220,"Fayetteville-Springdale-Rogers, AR-MO",88,182343,155905,54448,2.98,Normal range,0.01,0.01,0.98
22380,"Flagstaff, AZ",27,46815,224352,52724,4.17,Normal range,0.15,0.11,0.74
22420,"Flint, MI",129,166244,82672,43361,1.8,Very low,0.57,0.01,0.43
22500,"Florence, SC",48,78152,108525,41884,2.61,Normal range,0.21,0,0.79
22520,"Florence-Muscle Shoals, AL",36,60466,110281,41487,2.75,Normal range,0.08,0,0.92
22540,"Fond du Lac, WI",20,41029,140685,56379,2.51,Normal range,0.1,0,0.9
22660,"Fort Collins, CO",70,125529,286089,63683,4.78,High,0.01,0.11,0.87
22900,"Fort Smith, AR-OK",58,107765,103176,39835,2.61,Normal range,0.05,0,0.95
23060,"Fort Wayne, IN",108,165470,108104,49860,2.14,Low,0.3,0,0.7
23420,"Fresno, CA",196,298528,191883,50243,4.04,Normal range,0.01,0.07,0.93
23460,"Gadsden, AL",30,39522,87487,38754,2.23,Low,0.3,0,0.7
23540,"Gainesville, FL",51,89955,156300,50102,3.33,Normal range,0.04,0.04,0.92
23580,"Gainesville, GA",36,62327,166039,54354,3.07,Normal range,0,0.03,0.97
23900,"Gettysburg, PA",23,38269,202517,62302,3.33,Normal range,0,0,1
24020,"Glens Falls, NY",36,50971,177833,55500,3.22,Normal range,0,0,1
24140,"Goldsboro, NC",25,46396,111912,40928,2.82,Normal range,0,0,1
24220,"Grand Forks, ND-MN",26,39742,155177,56201,2.89,Normal range,0.04,0,0.96
24260,"Grand Island, NE",22,32189,127000,53953,2.35,Low,0.14,0,0.86
24300,"Grand Junction, CO",29,59501,217021,51230,4.4,High,0,0.07,0.93
24340,"Grand Rapids-Wyoming, MI",204,376351,145965,57496,2.58,Normal range,0.1,0.01,0.89
24420,"Grants Pass, OR",16,34778,234581,40032,5.93,High,0,0.25,0.75
24500,"Great Falls, MT",21,33026,160248,45577,3.73,Normal range,0,0.1,0.9
24540,"Greeley, CO",73,93156,236764,70451,3.36,Normal range,0.01,0,0.99
24580,"Green Bay, WI",67,125539,149060,54225,2.84,Normal range,0.01,0,0.99
24660,"Greensboro-High Point, NC",167,292685,144917,48498,3.08,Normal range,0.03,0.02,0.95
24780,"Greenville, NC",30,64126,128877,45588,2.9,Normal range,0.07,0,0.93
24860,"Greenville-Anderson-Mauldin, SC",193,326297,144848,48034,3.1,Normal range,0.03,0.03,0.95
25060,"Gulfport-Biloxi-Pascagoula, MS",76,144939,129458,44185,3.05,Normal range,0.03,0.01,0.96
25180,"Hagerstown-Martinsburg, MD-WV",45,97814,181391,55569,3.4,Normal range,0,0.02,0.98
25220,"Hammond, LA",20,46068,135210,42159,3.38,Normal range,0.05,0.05,0.9
25260,"Hanford-Corcoran, CA",24,40227,171992,49632,3.52,Normal range,0,0,1
25420,"Harrisburg-Carlisle, PA",121,223663,163810,57882,2.89,Normal range,0.04,0,0.96
25500,"Harrisonburg, VA",29,45183,205731,53695,3.97,Normal range,0,0.03,0.97
25540,"Hartford-West Hartford-East Hartford, CT",272,456620,238642,75393,3.44,Normal range,0,0.04,0.96
25620,"Hattiesburg, MS",27,53483,117115,42659,2.8,Normal range,0.04,0,0.96
25860,"Hickory-Lenoir-Morganton, NC",73,139617,128444,42733,2.99,Normal range,0,0,1
25940,"Hilton Head Island-Bluffton-Beaufort, SC",42,76364,297286,62153,4.54,High,0,0.1,0.9
25980,"Hinesville, GA",13,25411,120223,44583,2.75,Normal range,0.08,0,0.92
26140,"Homosassa Springs, FL",27,61350,115359,38209,2.99,Normal range,0,0,1
26300,"Hot Springs, AR",20,40353,123940,38044,3.41,Normal range,0.05,0.05,0.9
26380,"Houma-Thibodaux, LA",44,75786,135809,50629,2.73,Normal range,0.07,0,0.93
26420,"Houston-The Woodlands-Sugar Land, TX",1014,2100000,182571,65850,2.74,Normal range,0.26,0.03,0.72
26580,"Huntington-Ashland, WV-KY-OH",91,141832,103332,41968,2.54,Normal range,0.11,0.01,0.88
26620,"Huntsville, AL",88,171705,158039,57637,2.91,Normal range,0.02,0.01,0.97
26820,"Idaho Falls, ID",26,46349,157892,54216,2.94,Normal range,0,0,1
26900,"Indianapolis-Carmel-Anderson, IN",394,745060,134638,53867,2.55,Normal range,0.16,0,0.84
26980,"Iowa City, IA",27,61214,195456,59413,3.64,Normal range,0.04,0.07,0.89
27060,"Ithaca, NY",20,35436,218255,55961,4.1,Normal range,0,0.1,0.9
27100,"Jackson, MI",36,60217,108592,46926,2.31,Low,0.14,0,0.86
27140,"Jackson, MS",128,209135,122942,47414,2.61,Normal range,0.16,0,0.84
27180,"Jackson, TN",35,48636,112289,43205,2.69,Normal range,0.09,0,0.91
27260,"Jacksonville, FL",256,527943,177745,55588,3.11,Normal range,0.05,0.01,0.94
27340,"Jacksonville, NC",25,58001,156900,47212,3.36,Normal range,0,0,1
27500,"Janesville-Beloit, WI",38,63941,125758,50332,2.52,Normal range,0.08,0,0.92
27620,"Jefferson City, MO",31,56214,136497,52976,2.61,Normal range,0.03,0,0.97
27740,"Johnson City, TN",43,83809,128067,38956,3.35,Normal range,0,0,1
27780,"Johnstown, PA",41,56353,85268,43420,1.91,Very low,0.63,0,0.37
27860,"Jonesboro, AR",23,46875,106622,43728,2.56,Normal range,0.17,0,0.83
27900,"Joplin, MO",34,67754,109753,44325,2.5,Normal range,0.06,0,0.94
27980,"Kahului-Wailuku-Lahaina, HI",34,53903,535027,65535,8.47,Very high,0,0.76,0.24
28020,"Kalamazoo-Portage, MI",71,129329,128599,50114,2.61,Normal range,0.1,0.01,0.89
28100,"Kankakee, IL",29,40480,129862,52501,2.53,Normal range,0.03,0,0.97
28140,"Kansas City, MO-KS",510,801215,158681,61080,2.6,Normal range,0.18,0.01,0.82
28420,"Kennewick-Richland, WA",48,93567,187125,65727,2.94,Normal range,0,0,1
28660,"Killeen-Temple, TX",76,138608,116491,49886,2.36,Low,0.18,0,0.82
28700,"Kingsport-Bristol-Bristol, TN-VA",75,128184,121805,41867,2.96,Normal range,0.01,0,0.99
28740,"Kingston, NY",47,69335,217866,59878,3.75,Normal range,0,0.02,0.98
28940,"Knoxville, TN",197,339458,157970,50934,3.17,Normal range,0.01,0.02,0.98
29020,"Kokomo, IN",20,34411,94395,47482,2,Low,0.4,0,0.6
29100,"La Crosse-Onalaska, WI-MN",29,52544,156248,55498,3,Normal range,0,0.03,0.97
29180,"Lafayette, LA",92,179139,129501,47745,2.79,Normal range,0.13,0.01,0.86
29200,"Lafayette-West Lafayette, IN",42,75281,128557,51498,2.64,Normal range,0.21,0.02,0.76
29340,"Lake Charles, LA",44,78923,121900,47417,2.7,Normal range,0.16,0,0.84
29420,"Lake Havasu City-Kingman, AZ",43,82145,133421,39304,3.3,Normal range,0.07,0.02,0.91
29460,"Lakeland-Winter Haven, FL",153,223048,107168,45107,2.41,Normal range,0.2,0.01,0.8
29540,"Lancaster, PA",98,196171,184935,59194,3.17,Normal range,0.01,0.01,0.98
29620,"Lansing-East Lansing, MI",117,177844,129935,54040,2.44,Normal range,0.18,0,0.82
29700,"Laredo, TX",60,71092,104915,37553,2.97,Normal range,0.05,0,0.95
29740,"Las Cruces, NM",39,74166,134192,38845,3.46,Normal range,0,0,1
29820,"Las Vegas-Henderson-Paradise, NV",465,706363,189144,57061,3.28,Normal range,0.03,0.01,0.96
29940,"Lawrence, KS",21,44046,188562,54058,3.83,Normal range,0,0.1,0.9
30020,"Lawton, OK",31,43796,106352,45966,2.34,Low,0.26,0,0.74
30140,"Lebanon, PA",31,52247,157048,56354,2.77,Normal range,0,0,1
30300,"Lewiston, ID-WA",16,25424,168250,49124,3.5,Normal range,0,0,1
30340,"Lewiston-Auburn, ME",27,43979,144141,48573,3.23,Normal range,0,0.04,0.96
30460,"Lexington-Fayette, KY",125,191480,184745,58687,3.32,Normal range,0.02,0.03,0.95
30620,"Lima, OH",33,40039,93806,44257,2.11,Low,0.3,0,0.7
30700,"Lincoln, NE",72,122324,164921,60814,2.9,Normal range,0.03,0.01,0.96
30780,"Little Rock-North Little Rock-Conway, AR",161,276975,139426,51047,2.8,Normal range,0.06,0.01,0.93
30860,"Logan, UT-ID",26,39754,191508,55419,3.61,Normal range,0,0,1
30980,"Longview, TX",44,77182,111250,47256,2.39,Normal range,0.25,0,0.75
31020,"Longview, WA",24,39671,163350,47919,3.55,Normal range,0.08,0.04,0.88
31080,"Los Angeles-Long Beach-Anaheim, CA",2671,4000000,531387,69734,7.92,Very high,0,0.66,0.34
31140,"Louisville/Jefferson County, KY-IN",298,488806,157713,55743,2.83,Normal range,0.04,0.01,0.95
31180,"Lubbock, TX",69,109013,114925,50400,2.28,Low,0.36,0,0.64
31340,"Lynchburg, VA",57,99136,158163,48862,3.24,Normal range,0.02,0.02,0.96
31420,"Macon, GA",59,84104,111212,39863,2.94,Normal range,0.1,0.03,0.86
31460,"Madera, CA",23,43574,199922,47224,4.25,Normal range,0,0.09,0.91
31540,"Madison, WI",123,250760,233064,67469,3.58,Normal range,0,0.04,0.96
31700,"Manchester-Nashua, NH",82,152665,238184,75463,3.39,Normal range,0.02,0.02,0.95
31740,"Manhattan, KS",16,33276,175794,50483,3.96,Normal range,0,0.19,0.81
31860,"Mankato-North Mankato, MN",23,37640,167326,55724,3.13,Normal range,0,0,1
31900,"Mansfield, OH",30,47935,91247,41959,2.13,Low,0.27,0,0.73
32580,"McAllen-Edinburg-Mission, TX",112,227477,84465,36182,2.35,Low,0.28,0,0.72
32780,"Medford, OR",41,83969,234912,46243,5.18,High,0.02,0.17,0.8
32820,"Memphis, TN-MS-AR",298,485368,127419,48999,2.63,Normal range,0.15,0.01,0.84
32900,"Merced, CA",48,77273,187896,45500,4.24,Normal range,0,0.13,0.88
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1164,2000000,249547,56979,4.34,High,0.04,0.12,0.83
33140,"Michigan City-La Porte, IN",28,43052,134371,49362,2.73,Normal range,0.07,0,0.93
33220,"Midland, MI",19,33757,126021,56069,2.27,Low,0.11,0,0.89
33260,"Midland, TX",28,55589,174121,72796,2.32,Low,0.36,0,0.64
33340,"Milwaukee-Waukesha-West Allis, WI",414,614116,177728,57436,3.12,Normal range,0.03,0.01,0.96
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",775,1300000,230227,72714,3.32,Normal range,0,0.03,0.97
33540,"Missoula, MT",19,45862,248821,49260,5.21,High,0,0.11,0.89
33660,"Mobile, AL",111,151758,116826,40888,3.01,Normal range,0.04,0.02,0.95
33700,"Modesto, CA",93,169428,206899,50979,4.13,Normal range,0,0.04,0.96
33740,"Monroe, LA",45,65097,109156,39314,2.84,Normal range,0.11,0,0.89
33780,"Monroe, MI",38,58516,134774,56596,2.38,Normal range,0.13,0,0.87
33860,"Montgomery, AL",93,143221,132146,47749,2.89,Normal range,0.06,0.02,0.91
34060,"Morgantown, WV",30,48596,156187,49706,3.33,Normal range,0.1,0.03,0.87
34100,"Morristown, TN",21,44209,126410,41545,3.11,Normal range,0,0,1
34580,"Mount Vernon-Anacortes, WA",29,46108,263786,56669,4.77,High,0,0.1,0.9
34620,"Muncie, IN",29,45985,76724,37704,2.16,Low,0.55,0,0.45
34740,"Muskegon, MI",42,64914,94874,43534,2.17,Low,0.26,0,0.74
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",103,172687,184714,46803,3.89,Normal range,0.02,0.03,0.95
34900,"Napa, CA",39,49330,576218,80131,7.23,Very high,0,0.56,0.44
34940,"Naples-Immokalee-Marco Island, FL",73,133331,380940,64825,5.4,High,0,0.25,0.75
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",371,673826,208734,61289,3.45,Normal range,0,0.02,0.98
35100,"New Bern, NC",26,48504,148750,46989,3.35,Normal range,0,0.04,0.96
35300,"New Haven-Milford, CT",184,320440,235243,67310,3.7,Normal range,0,0.05,0.95
35380,"New Orleans-Metairie, LA",380,467370,204427,50066,4.51,High,0.01,0.16,0.83
35620,"New York-Newark-Jersey City, NY-NJ-PA",4153,6300000,478723,79660,6.83,Very high,0,0.39,0.61
35660,"Niles-Benton Harbor, MI",47,61121,131066,48290,2.74,Normal range,0.06,0,0.94
35840,"North Port-Sarasota-Bradenton, FL",171,310033,219283,54921,3.76,Normal range,0.08,0.08,0.84
35980,"Norwich-New London, CT",64,106164,245302,71599,3.55,Normal range,0,0.02,0.98
36100,"Ocala, FL",61,132277,109415,39625,2.73,Normal range,0.13,0,0.87
36140,"Ocean City, NJ",32,40073,405150,63882,6.34,High,0,0.44,0.56
36220,"Odessa, TX",28,50950,116243,59356,1.9,Very low,0.61,0,0.39
36260,"Ogden-Clearfield, UT",113,196303,206548,67128,3.1,Normal range,0,0,1
36420,"Oklahoma City, OK",348,494095,134212,53975,2.5,Normal range,0.2,0,0.79
36500,"Olympia-Tumwater, WA",49,103468,238018,64701,3.77,Normal range,0.02,0.02,0.96
36540,"Omaha-Council Bluffs, NE-IA",248,340787,156420,63061,2.56,Normal range,0.13,0,0.86
36740,"Orlando-Kissimmee-Sanford, FL",378,799578,170091,53200,3.14,Normal range,0.04,0.02,0.94
36780,"Oshkosh-Neenah, WI",41,69169,137963,53351,2.69,Normal range,0.07,0.02,0.9
36980,"Owensboro, KY",29,46287,114952,48705,2.39,Normal range,0.07,0,0.93
37100,"Oxnard-Thousand Oaks-Ventura, CA",168,266913,501056,83478,6.12,High,0.01,0.29,0.7
37340,"Palm Bay-Melbourne-Titusville, FL",110,223972,156573,50598,3.07,Normal range,0.05,0,0.95
37460,"Panama City, FL",45,72463,158867,47871,3.34,Normal range,0.02,0,0.98
37620,"Parkersburg-Vienna, WV",28,38657,103850,43623,2.39,Normal range,0.07,0,0.93
37860,"Pensacola-Ferry Pass-Brent, FL",95,174981,135520,50701,2.63,Normal range,0.11,0,0.89
37900,"Peoria, IL",93,150752,127353,55969,2.34,Low,0.27,0.01,0.72
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1445,2200000,244075,69622,3.6,Normal range,0.01,0.03,0.95
38060,"Phoenix-Mesa-Scottsdale, AZ",955,1600000,212435,61552,3.36,Normal range,0.05,0.02,0.92
38220,"Pine Bluff, AR",29,34934,75738,35308,2.18,Low,0.34,0,0.66
38300,"Pittsburgh, PA",690,987182,134621,54651,2.44,Normal range,0.27,0.01,0.73
38340,"Pittsfield, MA",39,54854,231739,56676,4.17,Normal range,0,0.05,0.95
38540,"Pocatello, ID",22,30424,149123,49594,3.15,Normal range,0,0,1
38940,"Port St. Lucie, FL",77,171776,169699,48721,3.36,Normal range,0.05,0.04,0.91
38860,"Portland-South Portland, ME",111,211470,249754,63227,4.08,Normal range,0,0.04,0.96
38900,"Portland-Vancouver-Hillsboro, OR-WA",483,887326,301797,66658,4.73,High,0,0.09,0.91
39140,"Prescott, AZ",42,93445,209407,46193,4.52,High,0.02,0.14,0.83
39300,"Providence-Warwick, RI-MA",358,617031,255591,61275,4.55,High,0,0.12,0.88
39340,"Provo-Orem, UT",123,147881,249679,70118,3.64,Normal range,0,0.02,0.98
39380,"Pueblo, CO",52,62853,130177,44229,3.07,Normal range,0,0.02,0.98
39460,"Punta Gorda, FL",38,73299,174795,46819,3.61,Normal range,0.03,0,0.97
39540,"Racine, WI",44,75291,163461,57946,2.94,Normal range,0.09,0.02,0.89
39580,"Raleigh, NC",219,457266,243535,73053,3.49,Normal range,0,0.05,0.95
39660,"Rapid City, SD",28,56314,172907,51993,3.37,Normal range,0,0,1
39740,"Reading, PA",90,152451,146676,55039,2.66,Normal range,0.16,0.01,0.83
39820,"Redding, CA",47,69021,227919,49258,4.7,High,0,0.04,0.96
39900,"Reno, NV",103,164037,246996,62247,3.96,Normal range,0.03,0.07,0.9
40060,"Richmond, VA",282,462507,215706,63647,3.59,Normal range,0,0.03,0.97
40140,"Riverside-San Bernardino-Ontario, CA",806,1300000,261609,58664,4.51,High,0.01,0.09,0.9
40220,"Roanoke, VA",64,128877,174800,51386,3.4,Normal range,0,0,1
40340,"Rochester, MN",50,83819,179544,67554,2.72,Normal range,0.02,0,0.98
40380,"Rochester, NY",259,426068,124005,53232,2.37,Low,0.23,0,0.77
40420,"Rockford, IL",81,131087,106480,49922,2.18,Low,0.36,0,0.64
40580,"Rocky Mount, NC",32,57781,102716,40131,2.59,Normal range,0.06,0,0.94
40660,"Rome, GA",20,35114,123095,45330,2.84,Normal range,0.05,0.05,0.9
40900,"Sacramento--Roseville--Arden-Arcade, CA",471,791651,314756,66468,4.94,High,0,0.15,0.85
40980,"Saginaw, MI",56,77928,84370,43557,1.84,Very low,0.57,0,0.43
41420,"Salem, OR",69,142750,202410,52390,3.97,Normal range,0,0.03,0.97
41500,"Salinas, CA",84,121484,440211,64908,6.56,Very high,0,0.39,0.61
41540,"Salisbury, MD-DE",92,149286,249490,56284,4.29,High,0.01,0.07,0.92
41620,"Salt Lake City, UT",218,372152,255523,68563,3.8,Normal range,0.01,0.03,0.96
