year,cbsa_code,cbsa_name,indicator,value,score,topmetro,metrosize,overallrank,sizerank
2009-2019,13900,"Bismarck, ND Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.22083318,,0,,,
2009-2019,13940,"Blackfoot, ID Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.047395397,,0,,,
2009-2019,13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",Percent Change in Average Annual Wage,1.1451721,,0,,,
2009-2019,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",Percent Change in Average Annual Wage,1.1451721,,0,,,
2009-2019,14010,"Bloomington, IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.005362301,,0,,,
2009-2019,14020,"Bloomington, IN Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.082764834,,0,,,
2009-2019,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11847132,,0,,,
2009-2019,14140,"Bluefield, WV-VA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.04136344,,0,,,
2009-2019,14160,"Bluffton, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.082632966,,0,,,
2009-2019,14180,"Blytheville, AR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.28462359,,0,,,
2009-2019,14220,"Bogalusa, LA Micropolitan Statistical Area",Percent Change in Average Annual Wage,-0.049669821,,0,,,
2009-2019,14260,"Boise City, ID Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.10826312,0.063994445,1,Large,38,7
2009-2019,14300,"Bonham, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10782674,,0,,,
2009-2019,14380,"Boone, NC Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.070559703,,0,,,
2009-2019,14420,"Borger, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.17058575,,0,,,
2009-2019,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.15709864,0.93181747,1,Very Large,10,7
2009-2019,14500,"Boulder, CO Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.19614068,1.625607,1,Midsized,7,2
2009-2019,14540,"Bowling Green, KY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.060228344,,0,,,
2009-2019,14580,"Bozeman, MT Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.19122095,,0,,,
2009-2019,14620,"Bradford, PA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.034166656,,0,,,
2009-2019,14660,"Brainerd, MN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14093819,,0,,,
2009-2019,14700,"Branson, MO Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.063471191,,0,,,
2009-2019,14720,"Breckenridge, CO Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10218657,,0,,,
2009-2019,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.078202195,-0.47019801,1,Midsized,87,35
2009-2019,14780,"Brenham, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.069442429,,0,,,
2009-2019,14820,"Brevard, NC Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.066398561,,0,,,
2009-2019,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Percent Change in Average Annual Wage,-0.009951541,-2.0367184,1,Large,189,57
2009-2019,15020,"Brookhaven, MS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.057031691,,0,,,
2009-2019,15060,"Brookings, OR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.07423608,,0,,,
2009-2019,15100,"Brookings, SD Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.15453351,,0,,,
2009-2019,15140,"Brownsville, TN",Percent Change in Average Annual Wage,-0.12801534,,0,,,
2009-2019,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.032848299,-1.2761514,1,Midsized,167,68
2009-2019,15220,"Brownwood, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.062606774,,0,,,
2009-2019,15260,"Brunswick, GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.071308434,,0,,,
2009-2019,15340,"Bucyrus-Galion, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.16169389,,0,,,
2009-2019,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11712361,0.22144821,1,Very Large,32,13
2009-2019,15420,"Burley, ID Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14153565,,0,,,
2009-2019,15460,"Burlington, IA-IL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.082917444,,0,,,
2009-2019,15500,"Burlington, NC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.08400254,,0,,,
2009-2019,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.062697217,,0,,,
2009-2019,15580,"Butte-Silver Bow, MT Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.027299352,,0,,,
2009-2019,15620,"Cadillac, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.098974541,,0,,,
2009-2019,15660,"Calhoun, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11484548,,0,,,
2009-2019,15680,"California-Lexington Park, MD Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.057857521,,0,,,
2009-2019,15700,"Cambridge, MD Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.034453876,,0,,,
2009-2019,15740,"Cambridge, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10397307,,0,,,
2009-2019,15780,"Camden, AR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.13849665,,0,,,
2009-2019,15820,"Campbellsville, KY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.078991085,,0,,,
2009-2019,15860,"Ca±on City, CO Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.028978176,,0,,,
2009-2019,15940,"Canton-Massillon, OH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.069333687,-0.62779421,1,Midsized,107,45
2009-2019,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.054041184,-0.89954692,1,Large,135,36
2009-2019,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.047433212,,0,,,
2009-2019,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.045309268,,0,,,
2009-2019,16100,"Carlsbad-Artesia, NM Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.27118701,,0,,,
2009-2019,16140,"Carroll, IA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11278037,,0,,,
2009-2019,16180,"Carson City, NV Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.015402893,,0,,,
2009-2019,16220,"Casper, WY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.05321743,,0,,,
2009-2019,16260,"Cedar City, UT Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.06751854,,0,,,
2009-2019,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.090856463,-0.24532749,1,Midsized,59,23
2009-2019,16340,"Cedartown, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.084116369,,0,,,
2009-2019,16380,"Celina, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.1117362,,0,,,
2009-2019,16420,"Central City, KY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.02804915,,0,,,
2009-2019,16460,"Centralia, IL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.004938338,,0,,,
2009-2019,16500,"Centralia, WA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.1507068,,0,,,
2009-2019,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.063638665,,0,,,
2009-2019,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.05464657,,0,,,
2009-2019,16620,"Charleston, WV Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.023442058,-1.4433033,1,Midsized,174,73
2009-2019,16660,"Charleston-Mattoon, IL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.050221007,,0,,,
2009-2019,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.12095451,0.28952459,1,Large,28,5
2009-2019,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.13361646,0.51453155,1,Very Large,18,8
2009-2019,16820,"Charlottesville, VA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.071527652,,0,,,
2009-2019,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.10084817,-0.067771725,1,Large,47,10
2009-2019,16940,"Cheyenne, WY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.080166794,,0,,,
2009-2019,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.084554881,-0.35730866,1,Very Large,74,27
2009-2019,17020,"Chico, CA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.088424191,,0,,,
2009-2019,17060,"Chillicothe, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.012135772,,0,,,
2009-2019,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.099181898,-0.097381897,1,Very Large,50,21
2009-2019,17220,"Clarksburg, WV Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.19165729,,0,,,
2009-2019,17260,"Clarksdale, MS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.010841288,,0,,,
2009-2019,17300,"Clarksville, TN-KY Metropolitan Statistical Area",Percent Change in Average Annual Wage,-0.028046908,-2.358279,1,Midsized,191,81
2009-2019,17340,"Clearlake, CA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.051388558,,0,,,
2009-2019,17380,"Cleveland, MS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.073575564,,0,,,
2009-2019,17420,"Cleveland, TN Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.020867391,,0,,,
2009-2019,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.087586954,-0.30342773,1,Very Large,65,24
2009-2019,17500,"Clewiston, FL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.2121985,,0,,,
2009-2019,17540,"Clinton, IA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.097534448,,0,,,
2009-2019,17580,"Clovis, NM Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10131397,,0,,,
2009-2019,17660,"Coeur d'Alene, ID Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.1123497,,0,,,
2009-2019,17700,"Coffeyville, KS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.051281985,,0,,,
2009-2019,17740,"Coldwater, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.026793836,,0,,,
2009-2019,17780,"College Station-Bryan, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.073785216,-0.54868913,1,Midsized,97,40
2009-2019,17820,"Colorado Springs, CO Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.054218363,-0.89639843,1,Large,134,35
2009-2019,17860,"Columbia, MO Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.1307065,,0,,,
2009-2019,17900,"Columbia, SC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.036790311,-1.2061006,1,Large,159,46
2009-2019,17980,"Columbus, GA-AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.03434908,-1.249482,1,Midsized,163,65
2009-2019,18020,"Columbus, IN Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.17532259,,0,,,
2009-2019,18060,"Columbus, MS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.057168182,,0,,,
2009-2019,18100,"Columbus, NE Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14353144,,0,,,
2009-2019,18140,"Columbus, OH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.086171553,-0.3285799,1,Very Large,71,26
2009-2019,18180,"Concord, NH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10125475,,0,,,
2009-2019,18220,"Connersville, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10269678,,0,,,
2009-2019,18260,"Cookeville, TN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.065748483,,0,,,
2009-2019,18300,"Coos Bay, OR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14886943,,0,,,
2009-2019,18380,"Cordele, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.13562889,,0,,,
2009-2019,18420,"Corinth, MS Micropolitan Statistical Area",Percent Change in Average Annual Wage,-0.004879468,,0,,,
2009-2019,18460,"Cornelia, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.067396007,,0,,,
2009-2019,18500,"Corning, NY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14611687,,0,,,
2009-2019,18580,"Corpus Christi, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.090625085,-0.24943922,1,Midsized,60,24
2009-2019,18620,"Corsicana, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.12200988,,0,,,
2009-2019,18660,"Cortland, NY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.063620068,,0,,,
2009-2019,18700,"Corvallis, OR Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.1720162,,0,,,
2009-2019,18740,"Coshocton, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.013637175,,0,,,
2009-2019,18780,"Craig, CO Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.056317281,,0,,,
2009-2019,18820,"Crawfordsville, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.067575626,,0,,,
2009-2019,18860,"Crescent City, CA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.054243445,,0,,,
2009-2019,18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.075132042,-0.5247556,1,Midsized,95,38
2009-2019,18900,"Crossville, TN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.01981985,,0,,,
2009-2019,18980,"Cullman, AL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.059680972,,0,,,
2009-2019,19000,"Cullowhee, NC Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.047499429,,0,,,
2009-2019,19060,"Cumberland, MD-WV Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.048363697,,0,,,
2009-2019,19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.10219797,-0.043785237,1,Very Large,45,18
2009-2019,19140,"Dalton, GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.064845666,,0,,,
2009-2019,19180,"Danville, IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.059476819,,0,,,
2009-2019,19220,"Danville, KY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.06830433,,0,,,
2009-2019,19260,"Danville, VA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.058217548,,0,,,
2009-2019,19300,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.064718224,,0,,,
2009-2019,19340,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.073306933,-0.55718833,1,Midsized,100,41
2009-2019,19420,"Dayton, TN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.082831047,,0,,,
2009-2019,19430,"Dayton-Kettering, OH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.049393222,-0.98214275,1,Large,140,38
2009-2019,19460,"Decatur, AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.070117787,,0,,,
2009-2019,19500,"Decatur, IL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.073872529,,0,,,
2009-2019,19540,"Decatur, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14491434,,0,,,
2009-2019,19580,"Defiance, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.049344439,,0,,,
2009-2019,19620,"Del Rio, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.019935954,,0,,,
2009-2019,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.052326005,-0.93002629,1,Large,138,37
2009-2019,19700,"Deming, NM Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.064952426,,0,,,
