year,cbsa,cbsatitle,indicator,topmetro,metrosize,value,overallrank,rankbysize
2009-2019,11380,"Andrews, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,11420,"Angola, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.022276,,
2009-2019,11460,"Ann Arbor, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.003665,111,37
2009-2019,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.034239,,
2009-2019,11540,"Appleton, WI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.005626,,
2009-2019,11580,"Arcadia, FL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.2332,,
2009-2019,11620,"Ardmore, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.030832,,
2009-2019,11660,"Arkadelphia, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,11700,"Asheville, NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.01434,150,52
2009-2019,11740,"Ashland, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.040012,,
2009-2019,11780,"Ashtabula, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.004896,,
2009-2019,11820,"Astoria, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.03699,,
2009-2019,11860,"Atchison, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,11900,"Athens, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.004307,,
2009-2019,11940,"Athens, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.016923,,
2009-2019,11980,"Athens, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.03654,,
2009-2019,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.016584,,
2009-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.016159,68,24
2009-2019,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.00736,100,30
2009-2019,12140,"Auburn, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.0227,,
2009-2019,12180,"Auburn, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.01949,,
2009-2019,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.024675,,
2009-2019,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.023101,51,16
2009-2019,12300,"Augusta-Waterville, ME Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.021895,,
2009-2019,12380,"Austin, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.008781,,
2009-2019,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area ",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.000293,120,46
2009-2019,12460,"Bainbridge, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.078179,,
2009-2019,12540,"Bakersfield, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.040311,23,6
2009-2019,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.010801,84,31
2009-2019,12620,"Bangor, ME Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.016258,,
2009-2019,12660,"Baraboo, WI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.049203,,
2009-2019,12680,"Bardstown, KY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.034195,,
2009-2019,12700,"Barnstable Town, MA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.042049,,
2009-2019,12740,"Barre, VT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.030936,,
2009-2019,12780,"Bartlesville, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.03458,,
2009-2019,12860,"Batavia, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.028171,,
2009-2019,12900,"Batesville, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.033116,,
2009-2019,12940,"Baton Rouge, LA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.014574,77,24
2009-2019,12980,"Battle Creek, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.074144,,
2009-2019,13020,"Bay City, MI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.010358,,
2009-2019,13060,"Bay City, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.075553,,
2009-2019,13100,"Beatrice, NE Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.038782,,
2009-2019,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.015662,73,25
2009-2019,13180,"Beaver Dam, WI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.150269,,
2009-2019,13220,"Beckley, WV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013629,,
2009-2019,13260,"Bedford, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.038221,,
2009-2019,13300,"Beeville, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.130242,,
2009-2019,13340,"Bellefontaine, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.008503,,
2009-2019,13380,"Bellingham, WA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.05996,,
2009-2019,13420,"Bemidji, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.027294,,
2009-2019,13460,"Bend, OR Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.042728,,
2009-2019,13500,"Bennettsville, SC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.123719,,
2009-2019,13540,"Bennington, VT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.098051,,
2009-2019,13620,"Berlin, NH-VT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.222961,,
2009-2019,13660,"Big Rapids, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.121506,,
2009-2019,13700,"Big Spring, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.068159,,
2009-2019,13720,"Big Stone Gap, VA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.063406,,
2009-2019,13740,"Billings, MT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.00907,,
2009-2019,13780,"Binghamton, NY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.044111,,
2009-2019,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,0.019931,161,53
2009-2019,13900,"Bismarck, ND Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.042737,,
2009-2019,13940,"Blackfoot, ID Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.006375,,
2009-2019,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.056879,,
2009-2019,14010,"Bloomington, IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.017248,,
2009-2019,14020,"Bloomington, IN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.029877,,
2009-2019,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.061913,,
2009-2019,14140,"Bluefield, WV-VA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.078801,,
2009-2019,14160,"Bluffton, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.0325,,
2009-2019,14180,"Blytheville, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.001692,,
2009-2019,14220,"Bogalusa, LA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.079699,,
2009-2019,14260,"Boise City, ID Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.021189,163,51
2009-2019,14300,"Bonham, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.265789,,
2009-2019,14380,"Boone, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.027269,,
2009-2019,14420,"Borger, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.030081,,
2009-2019,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.017932,67,23
2009-2019,14500,"Boulder, CO Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.004941,131,44
2009-2019,14540,"Bowling Green, KY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.001029,,
2009-2019,14580,"Bozeman, MT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.02622,,
2009-2019,14620,"Bradford, PA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.098305,,
2009-2019,14660,"Brainerd, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.007196,,
2009-2019,14700,"Branson, MO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.013501,,
2009-2019,14720,"Breckenridge, CO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area ",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.023281,50,18
2009-2019,14780,"Brenham, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.011357,,
2009-2019,14820,"Brevard, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.027526,,
2009-2019,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.010293,87,29
2009-2019,15020,"Brookhaven, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.055921,,
2009-2019,15060,"Brookings, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.019738,,
2009-2019,15100,"Brookings, SD Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.01822,,
2009-2019,15140,"Brownsville, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.021335,,
2009-2019,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.065386,7,5
2009-2019,15220,"Brownwood, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.068058,,
2009-2019,15260,"Brunswick, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.081585,,
2009-2019,15340,"Bucyrus-Galion, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.047466,,
2009-2019,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,0.009724,142,50
2009-2019,15420,"Burley, ID Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.030207,,
2009-2019,15460,"Burlington, IA-IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.035347,,
2009-2019,15500,"Burlington, NC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.013665,,
2009-2019,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003724,,
2009-2019,15580,"Butte-Silver Bow, MT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.06392,,
2009-2019,15620,"Cadillac, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.042223,,
2009-2019,15660,"Calhoun, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.041037,,
2009-2019,15680,"California-Lexington Park, MD Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.02493,,
2009-2019,15700,"Cambridge, MD Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.055502,,
2009-2019,15740,"Cambridge, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.090476,,
2009-2019,15780,"Camden, AR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.025243,,
2009-2019,15820,"Campbellsville, KY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.04669,,
2009-2019,15860,"Ca켹n City, CO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,15940,"Canton-Massillon, OH Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.002016,117,39
2009-2019,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.000224,121,35
2009-2019,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.011271,,
2009-2019,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.019058,,
2009-2019,16100,"Carlsbad-Artesia, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.057012,,
2009-2019,16140,"Carroll, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.019968,,
2009-2019,16180,"Carson City, NV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.039211,,
2009-2019,16220,"Casper, WY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.007487,,
2009-2019,16260,"Cedar City, UT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.043034,,
2009-2019,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.00493,108,36
2009-2019,16340,"Cedartown, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.014621,,
2009-2019,16380,"Celina, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.048361,,
2009-2019,16420,"Central City, KY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.085819,,
2009-2019,16460,"Centralia, IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.02147,,
2009-2019,16500,"Centralia, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.027755,,
2009-2019,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.029819,,
2009-2019,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.048979,,
2009-2019,16620,"Charleston, WV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.022556,165,61
2009-2019,16660,"Charleston-Mattoon, IL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.115062,,
2009-2019,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.014751,151,48
2009-2019,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.031118,34,11
2009-2019,16820,"Charlottesville, VA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.055168,,
2009-2019,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.060607,8,2
2009-2019,16940,"Cheyenne, WY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.035369,,
2009-2019,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.023874,47,16
2009-2019,17020,"Chico, CA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.029277,,
2009-2019,17060,"Chillicothe, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.062959,,
2009-2019,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.019773,63,20
2009-2019,17200,"Lebanon, NH-VT Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.007047,,
2009-2019,17220,"Clarksburg, WV Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.10408,,
2009-2019,17260,"Clarksdale, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.059442,,
2009-2019,17300,"Clarksville, TN-KY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.021565,57,22
2009-2019,17340,"Clearlake, CA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.034625,,
2009-2019,17380,"Cleveland, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.103218,,
2009-2019,17420,"Cleveland, TN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.026846,,
2009-2019,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.011496,82,29
2009-2019,17500,"Clewiston, FL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.595971,,
2009-2019,17540,"Clinton, IA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.036623,,
2009-2019,17580,"Clovis, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.030649,,
2009-2019,17660,"Coeur d'Alene, ID Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.02315,,
2009-2019,17700,"Coffeyville, KS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.159312,,
2009-2019,17740,"Coldwater, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.056504,,
2009-2019,17780,"College Station-Bryan, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.012542,146,48
2009-2019,17820,"Colorado Springs, CO Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.014272,78,25
2009-2019,17860,"Columbia, MO Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.015437,,
2009-2019,17900,"Columbia, SC Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.020609,60,20
2009-2019,17980,"Columbus, GA-AL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.020481,61,23
2009-2019,18020,"Columbus, IN Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.012624,,
2009-2019,18060,"Columbus, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.040008,,
2009-2019,18100,"Columbus, NE Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.04035,,
2009-2019,18140,"Columbus, OH Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Very Large,-0.00869,97,39
2009-2019,18180,"Concord, NH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.002812,,
2009-2019,18220,"Connersville, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.036802,,
2009-2019,18260,"Cookeville, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.0074,,
2009-2019,18300,"Coos Bay, OR Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.058052,,
2009-2019,18380,"Cordele, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.091585,,
2009-2019,18420,"Corinth, MS Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.003203,,
2009-2019,18460,"Cornelia, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.132205,,
2009-2019,18500,"Corning, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.069283,,
2009-2019,18580,"Corpus Christi, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.043168,19,9
2009-2019,18620,"Corsicana, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.001571,,
2009-2019,18660,"Cortland, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.049668,,
2009-2019,18700,"Corvallis, OR Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.095412,,
2009-2019,18740,"Coshocton, OH Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.069127,,
2009-2019,18780,"Craig, CO Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,,,
2009-2019,18820,"Crawfordsville, IN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.09696,,
2009-2019,18860,"Crescent City, CA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.088193,,
2009-2019,18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,-0.040891,22,12
2009-2019,18900,"Crossville, TN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.093713,,
2009-2019,18980,"Cullman, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.128841,,
2009-2019,19000,"Cullowhee, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.010902,,
2009-2019,19060,"Cumberland, MD-WV Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.003326,,
