year,cbsa,cbsa_name,indicator,value,topmetro,metrosize
2014,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6702,0,
2015,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6399,0,
2016,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6373,0,
2017,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6106,0,
2018,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6317,0,
2019,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6580,0,
2009,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,72053.078,0,
2010,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,71319.469,0,
2011,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,71844.633,0,
2012,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,72698.219,0,
2013,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,73386.328,0,
2014,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,74406.656,0,
2015,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,74318.492,0,
2016,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,73888.906,0,
2017,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,74955.82,0,
2018,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,76590.75,0,
2019,10180,"Abilene, TX Metropolitan Statistical Area",Jobs,78880.617,0,
2009,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,7583635456,0,
2010,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,7717293056,0,
2011,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,7748560384,0,
2012,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8213995008,0,
2013,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8451180032,0,
2014,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8762594304,0,
2015,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8447250944,0,
2016,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8262326272,0,
2017,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,8696082432,0,
2018,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,9016720384,0,
2019,10180,"Abilene, TX Metropolitan Statistical Area",Real GDP,9284855808,0,
2009,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18259.1,0,
2010,10220,"Ada, OK Micropolitan Statistical Area",Jobs,17883.027,0,
2011,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18235.316,0,
2012,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18438.99,0,
2013,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18145.51,0,
2014,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18525.809,0,
2015,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18911.758,0,
2016,10220,"Ada, OK Micropolitan Statistical Area",Jobs,18951.594,0,
2017,10220,"Ada, OK Micropolitan Statistical Area",Jobs,19041.428,0,
2018,10220,"Ada, OK Micropolitan Statistical Area",Jobs,19307.75,0,
2019,10220,"Ada, OK Micropolitan Statistical Area",Jobs,19888.926,0,
2009,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1480270208,0,
2010,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1565124480,0,
2011,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1631177856,0,
2012,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1651196032,0,
2013,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1668225536,0,
2014,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1741153408,0,
2015,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1771381760,0,
2016,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1852989952,0,
2017,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1871240704,0,
2018,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1923470848,0,
2019,10220,"Ada, OK Micropolitan Statistical Area",Real GDP,1981538304,0,
2009,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28372.51,0,
2010,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28368.369,0,
2011,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28212.9,0,
2012,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28735.699,0,
2013,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28947.373,0,
2014,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28994.068,0,
2015,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28617.271,0,
2016,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28671.107,0,
2017,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28085.723,0,
2018,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,28419.842,0,
2019,10300,"Adrian, MI Micropolitan Statistical Area",Jobs,27290.527,0,
2009,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,2876918784,0,
2010,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,2995065344,0,
2011,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3014229760,0,
2012,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3012935424,0,
2013,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3047556352,0,
2014,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3011120640,0,
2015,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3019163648,0,
2016,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3148955136,0,
2017,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3112677632,0,
2018,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3293870080,0,
2019,10300,"Adrian, MI Micropolitan Statistical Area",Real GDP,3190499584,0,
2009,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,25545,1,Large
2010,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,22662,1,Large
2011,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,23004,1,Large
2012,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,23032,1,Large
2013,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,22368,1,Large
2014,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,23259,1,Large
2015,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,25932,1,Large
2016,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,26270,1,Large
2017,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,25388,1,Large
2018,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,25270,1,Large
2019,10420,"Akron, OH Metropolitan Statistical Area",Employment at firms 0-5 years old,25701,1,Large
2009,10420,"Akron, OH Metropolitan Statistical Area",Jobs,317661.16,1,Large
2010,10420,"Akron, OH Metropolitan Statistical Area",Jobs,315289.94,1,Large
2011,10420,"Akron, OH Metropolitan Statistical Area",Jobs,317587.94,1,Large
2012,10420,"Akron, OH Metropolitan Statistical Area",Jobs,320867.59,1,Large
2013,10420,"Akron, OH Metropolitan Statistical Area",Jobs,322662.47,1,Large
2014,10420,"Akron, OH Metropolitan Statistical Area",Jobs,328220.34,1,Large
2015,10420,"Akron, OH Metropolitan Statistical Area",Jobs,332944.81,1,Large
2016,10420,"Akron, OH Metropolitan Statistical Area",Jobs,334724.19,1,Large
2017,10420,"Akron, OH Metropolitan Statistical Area",Jobs,335304.88,1,Large
2018,10420,"Akron, OH Metropolitan Statistical Area",Jobs,334924.91,1,Large
2019,10420,"Akron, OH Metropolitan Statistical Area",Jobs,335980.69,1,Large
2009,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,32962392064,1,Large
2010,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,33596037120,1,Large
2011,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,33870467072,1,Large
2012,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,33917108224,1,Large
2013,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,34380058624,1,Large
2014,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,35721670656,1,Large
2015,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,36278788096,1,Large
2016,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,36366725120,1,Large
2017,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,36740657152,1,Large
2018,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,37175988224,1,Large
2019,10420,"Akron, OH Metropolitan Statistical Area",Real GDP,37439037440,1,Large
2009,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,21528.871,0,
2010,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22375.105,0,
2011,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22340.086,0,
2012,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22661.512,0,
2013,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22749.057,0,
2014,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22091.219,0,
2015,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,21979.6,0,
2016,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22359.199,0,
2017,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22010.354,0,
2018,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22171.619,0,
2019,10460,"Alamogordo, NM Micropolitan Statistical Area",Jobs,22391.15,0,
2009,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2357816320,0,
2010,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2574178304,0,
2011,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2649242112,0,
2012,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2637901312,0,
2013,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2532455936,0,
2014,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2489617664,0,
2015,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2395948800,0,
2016,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2508540672,0,
2017,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2544299264,0,
2018,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2509353216,0,
2019,10460,"Alamogordo, NM Micropolitan Statistical Area",Real GDP,2491721984,0,
2009,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4697,0,
2010,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4755,0,
2011,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,5137,0,
2012,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4975,0,
2013,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4330,0,
2014,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,,0,
2015,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4297,0,
2016,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4389,0,
2017,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,4081,0,
2018,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,3642,0,
2019,10500,"Albany, GA Metropolitan Statistical Area",Employment at firms 0-5 years old,3826,0,
2009,10500,"Albany, GA Metropolitan Statistical Area",Jobs,62688.34,0,
2010,10500,"Albany, GA Metropolitan Statistical Area",Jobs,61666.035,0,
2011,10500,"Albany, GA Metropolitan Statistical Area",Jobs,61363.633,0,
2012,10500,"Albany, GA Metropolitan Statistical Area",Jobs,60982.961,0,
2013,10500,"Albany, GA Metropolitan Statistical Area",Jobs,60817.813,0,
2014,10500,"Albany, GA Metropolitan Statistical Area",Jobs,60560.137,0,
2015,10500,"Albany, GA Metropolitan Statistical Area",Jobs,60634.508,0,
2016,10500,"Albany, GA Metropolitan Statistical Area",Jobs,61539.871,0,
2017,10500,"Albany, GA Metropolitan Statistical Area",Jobs,62372.824,0,
2018,10500,"Albany, GA Metropolitan Statistical Area",Jobs,62172.34,0,
2019,10500,"Albany, GA Metropolitan Statistical Area",Jobs,62483.41,0,
2009,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6102221824,0,
2010,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6096570368,0,
2011,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6026048512,0,
2012,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,5841478144,0,
2013,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,5859982848,0,
2014,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6005374976,0,
2015,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,5789212160,0,
2016,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,5791927296,0,
2017,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,5966425600,0,
2018,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6154743296,0,
2019,10500,"Albany, GA Metropolitan Statistical Area",Real GDP,6139546112,0,
2009,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,4192,0,
2010,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3463,0,
2011,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3377,0,
2012,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,2633,0,
2013,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,2569,0,
2014,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,2766,0,
2015,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,2778,0,
2016,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3167,0,
2017,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3248,0,
2018,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3637,0,
2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Employment at firms 0-5 years old,3736,0,
2009,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,41677.195,0,
2010,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,41010.191,0,
2011,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,41074.125,0,
2012,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,41684.074,0,
2013,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,42171.27,0,
2014,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,43979.289,0,
2015,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,45900.543,0,
2016,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,46895.121,0,
2017,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,47900.922,0,
2018,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,48756.594,0,
2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Jobs,49303.508,0,
2009,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4609764352,0,
2010,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4658329600,0,
2011,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4880901632,0,
2012,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4784312832,0,
2013,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4718306816,0,
2014,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4808698368,0,
2015,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,4892633600,0,
2016,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,5273220608,0,
2017,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,5338145792,0,
2018,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,5635905536,0,
2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Real GDP,5685214208,0,
2009,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,29331,1,Large
2010,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,27772,1,Large
2011,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,27763,1,Large
2012,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,27001,1,Large
2013,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,29293,1,Large
2014,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,28015,1,Large
2015,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,28728,1,Large
2016,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,26280,1,Large
2017,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,28581,1,Large
2018,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,30598,1,Large
2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Employment at firms 0-5 years old,33882,1,Large
2009,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,435929.78,1,Large
2010,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,430163.94,1,Large
2011,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,430508.22,1,Large
2012,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,436096.34,1,Large
2013,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,439059.16,1,Large
2014,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,442722.72,1,Large
2015,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,448946.59,1,Large
2016,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,454526.38,1,Large
2017,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,458551.22,1,Large
2018,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,460052.53,1,Large
2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Jobs,460417.03,1,Large
2009,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,55907078144,1,Large
2010,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,56606457856,1,Large
2011,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,56028651520,1,Large
2012,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,57925099520,1,Large
2013,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,59521904640,1,Large
2014,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,60343365632,1,Large
2015,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,62921977856,1,Large
2016,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,63932088320,1,Large
2017,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,64675926016,1,Large
2018,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,66424393728,1,Large
2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Real GDP,66675867648,1,Large
2009,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,19143.066,0,
2010,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,18914.734,0,
2011,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,18882.891,0,
2012,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,19111.691,0,
2013,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,19627.52,0,
2014,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,19578.129,0,
2015,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,19716.697,0,
2016,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,20024.83,0,
2017,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,20078.234,0,
2018,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,20032.006,0,
2019,10620,"Albemarle, NC Micropolitan Statistical Area",Jobs,20199.947,0,
2009,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1654586880,0,
2010,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1689188864,0,
2011,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1679121152,0,
2012,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1649768192,0,
2013,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1674898048,0,
2014,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1650658048,0,
2015,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1688073344,0,
2016,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1733771264,0,
2017,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1764371072,0,
2018,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1821897344,0,
2019,10620,"Albemarle, NC Micropolitan Statistical Area",Real GDP,1819167744,0,
2009,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12542.356,0,
2010,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12504.172,0,
2011,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12696.989,0,
2012,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12578.861,0,
2013,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12583.793,0,
2014,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12594.812,0,
2015,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12514.458,0,
2016,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12489.047,0,
2017,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12485.668,0,
2018,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12497.323,0,
2019,10660,"Albert Lea, MN Micropolitan Statistical Area",Jobs,12568.953,0,
2009,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1189726720,0,
2010,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1211590912,0,
2011,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1234627584,0,
2012,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1169973888,0,
2013,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1212183680,0,
2014,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1223774976,0,
2015,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1263211648,0,
2016,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1264822656,0,
2017,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1252765184,0,
2018,10660,"Albert Lea, MN Micropolitan Statistical Area",Real GDP,1285075328,0,
