year,cbsa,cbsatitle,topmetro,metrosize,indicator,tractlevel,value
2009,12180,"Auburn, NY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.464482
2009,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.491517
2009,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.495449
2009,12300,"Augusta-Waterville, ME Micropolitan Statistical Area",0,,Employment Rate,bottom,0.6453
2009,12380,"Austin, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.717373
2009,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area ",1,Very Large,Employment Rate,bottom,0.624983
2009,12460,"Bainbridge, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.596707
2009,12540,"Bakersfield, CA Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.369606
2009,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.535889
2009,12620,"Bangor, ME Metropolitan Statistical Area",0,,Employment Rate,bottom,0.580837
2009,12660,"Baraboo, WI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.799657
2009,12680,"Bardstown, KY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.640083
2009,12700,"Barnstable Town, MA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.646972
2009,12740,"Barre, VT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.71099
2009,12780,"Bartlesville, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.628904
2009,12860,"Batavia, NY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.638771
2009,12900,"Batesville, AR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.497269
2009,12940,"Baton Rouge, LA Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.489171
2009,12980,"Battle Creek, MI Metropolitan Statistical Area",0,,Employment Rate,bottom,0.479035
2009,13020,"Bay City, MI Metropolitan Statistical Area",0,,Employment Rate,bottom,0.577271
2009,13060,"Bay City, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.559946
2009,13100,"Beatrice, NE Micropolitan Statistical Area",0,,Employment Rate,bottom,0.654342
2009,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.369847
2009,13180,"Beaver Dam, WI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.481321
2009,13220,"Beckley, WV Metropolitan Statistical Area",0,,Employment Rate,bottom,0.439325
2009,13260,"Bedford, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.574725
2009,13300,"Beeville, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.216517
2009,13340,"Bellefontaine, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.647854
2009,13380,"Bellingham, WA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.632326
2009,13420,"Bemidji, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.536436
2009,13460,"Bend, OR Metropolitan Statistical Area",0,,Employment Rate,bottom,0.629118
2009,13500,"Bennettsville, SC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.253099
2009,13540,"Bennington, VT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.711864
2009,13620,"Berlin, NH-VT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.636556
2009,13660,"Big Rapids, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.385714
2009,13700,"Big Spring, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.277482
2009,13720,"Big Stone Gap, VA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.442913
2009,13740,"Billings, MT Metropolitan Statistical Area",0,,Employment Rate,bottom,0.68562
2009,13780,"Binghamton, NY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.583844
2009,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.533243
2009,13900,"Bismarck, ND Metropolitan Statistical Area",0,,Employment Rate,bottom,0.766281
2009,13940,"Blackfoot, ID Micropolitan Statistical Area",0,,Employment Rate,bottom,0.554384
2009,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.480508
2009,14010,"Bloomington, IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.641966
2009,14020,"Bloomington, IN Metropolitan Statistical Area",0,,Employment Rate,bottom,0.445507
2009,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.590242
2009,14140,"Bluefield, WV-VA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.474266
2009,14160,"Bluffton, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.682091
2009,14180,"Blytheville, AR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.527361
2009,14220,"Bogalusa, LA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.473544
2009,14260,"Boise City, ID Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.607498
2009,14300,"Bonham, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.5051
2009,14380,"Boone, NC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.581116
2009,14420,"Borger, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.544715
2009,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.632806
2009,14500,"Boulder, CO Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.634534
2009,14540,"Bowling Green, KY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.501257
2009,14580,"Bozeman, MT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.69222
2009,14620,"Bradford, PA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.588235
2009,14660,"Brainerd, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.596179
2009,14700,"Branson, MO Micropolitan Statistical Area",0,,Employment Rate,bottom,0.688508
2009,14720,"Breckenridge, CO Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area ",1,Midsized,Employment Rate,bottom,0.572966
2009,14780,"Brenham, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.665706
2009,14820,"Brevard, NC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.57696
2009,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.628691
2009,15020,"Brookhaven, MS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.49499
2009,15060,"Brookings, OR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.501699
2009,15100,"Brookings, SD Micropolitan Statistical Area",0,,Employment Rate,bottom,0.769932
2009,15140,"Brownsville, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.601449
2009,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.48752
2009,15220,"Brownwood, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.439718
2009,15260,"Brunswick, GA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.613187
2009,15340,"Bucyrus-Galion, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.620479
2009,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.507616
2009,15420,"Burley, ID Micropolitan Statistical Area",0,,Employment Rate,bottom,0.6534
2009,15460,"Burlington, IA-IL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.68496
2009,15500,"Burlington, NC Metropolitan Statistical Area",0,,Employment Rate,bottom,0.659464
2009,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",0,,Employment Rate,bottom,0.690237
2009,15580,"Butte-Silver Bow, MT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.628982
2009,15620,"Cadillac, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.639524
2009,15660,"Calhoun, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.650556
2009,15680,"California-Lexington Park, MD Metropolitan Statistical Area",0,,Employment Rate,bottom,0.68084
2009,15700,"Cambridge, MD Micropolitan Statistical Area",0,,Employment Rate,bottom,0.616545
2009,15740,"Cambridge, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.609491
2009,15780,"Camden, AR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.553508
2009,15820,"Campbellsville, KY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.572173
2009,15860,"Ca켹n City, CO Micropolitan Statistical Area",0,,Employment Rate,bottom,0
2009,15940,"Canton-Massillon, OH Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.566845
2009,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.519277
2009,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.554547
2009,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.459961
2009,16100,"Carlsbad-Artesia, NM Micropolitan Statistical Area",0,,Employment Rate,bottom,0.649068
2009,16140,"Carroll, IA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.794592
2009,16180,"Carson City, NV Metropolitan Statistical Area",0,,Employment Rate,bottom,0.56027
2009,16220,"Casper, WY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.668575
2009,16260,"Cedar City, UT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.679245
2009,16300,"Cedar Rapids, IA Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.67021
2009,16340,"Cedartown, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.596971
2009,16380,"Celina, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.715345
2009,16420,"Central City, KY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.449679
2009,16460,"Centralia, IL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.642391
2009,16500,"Centralia, WA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.576016
2009,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.683064
2009,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.537321
2009,16620,"Charleston, WV Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.475192
2009,16660,"Charleston-Mattoon, IL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.539022
2009,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.547423
2009,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.583329
2009,16820,"Charlottesville, VA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.457788
2009,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.52171
2009,16940,"Cheyenne, WY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.709026
2009,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.535007
2009,17020,"Chico, CA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.505117
2009,17060,"Chillicothe, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.218783
2009,17140,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.549552
2009,17200,"Lebanon, NH-VT Micropolitan Statistical Area",0,,Employment Rate,bottom,0.69097
2009,17220,"Clarksburg, WV Micropolitan Statistical Area",0,,Employment Rate,bottom,0.598486
2009,17260,"Clarksdale, MS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.454449
2009,17300,"Clarksville, TN-KY Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.493283
2009,17340,"Clearlake, CA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.520294
2009,17380,"Cleveland, MS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.446525
2009,17420,"Cleveland, TN Metropolitan Statistical Area",0,,Employment Rate,bottom,0.527384
2009,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.49782
2009,17500,"Clewiston, FL Micropolitan Statistical Area",0,,Employment Rate,bottom,0
2009,17540,"Clinton, IA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.702475
2009,17580,"Clovis, NM Micropolitan Statistical Area",0,,Employment Rate,bottom,0.563964
2009,17660,"Coeur d'Alene, ID Metropolitan Statistical Area",0,,Employment Rate,bottom,0.653216
2009,17700,"Coffeyville, KS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.623582
2009,17740,"Coldwater, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.39015
2009,17780,"College Station-Bryan, TX Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.525297
2009,17820,"Colorado Springs, CO Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.629345
2009,17860,"Columbia, MO Metropolitan Statistical Area",0,,Employment Rate,bottom,0.573302
2009,17900,"Columbia, SC Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.522923
2009,17980,"Columbus, GA-AL Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.39813
2009,18020,"Columbus, IN Metropolitan Statistical Area",0,,Employment Rate,bottom,0.680483
2009,18060,"Columbus, MS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.516146
2009,18100,"Columbus, NE Micropolitan Statistical Area",0,,Employment Rate,bottom,0.79722
2009,18140,"Columbus, OH Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.533247
2009,18180,"Concord, NH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.65058
2009,18220,"Connersville, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.539765
2009,18260,"Cookeville, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.512273
2009,18300,"Coos Bay, OR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.574749
2009,18380,"Cordele, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.606826
2009,18420,"Corinth, MS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.495886
2009,18460,"Cornelia, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.485972
2009,18500,"Corning, NY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.656586
2009,18580,"Corpus Christi, TX Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.533959
2009,18620,"Corsicana, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.564562
2009,18660,"Cortland, NY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.583111
2009,18700,"Corvallis, OR Metropolitan Statistical Area",0,,Employment Rate,bottom,0.476738
2009,18740,"Coshocton, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.591311
2009,18780,"Craig, CO Micropolitan Statistical Area",0,,Employment Rate,bottom,0.671958
2009,18820,"Crawfordsville, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.647865
2009,18860,"Crescent City, CA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.260774
2009,18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.552661
2009,18900,"Crossville, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.530936
2009,18980,"Cullman, AL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.631031
2009,19000,"Cullowhee, NC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.59854
2009,19060,"Cumberland, MD-WV Metropolitan Statistical Area",0,,Employment Rate,bottom,0.462303
2009,19100,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.593288
2009,19140,"Dalton, GA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.61131
2009,19180,"Danville, IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.445366
2009,19220,"Danville, KY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.618426
2009,19260,"Danville, VA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.539336
2009,19300,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.611824
2009,19340,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.624038
2009,19420,"Dayton, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.553226
2009,19430,"Dayton-Kettering, OH Metropolitan Statistical Area ",1,Large,Employment Rate,bottom,0.538498
2009,19460,"Decatur, AL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.585414
2009,19500,"Decatur, IL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.490872
2009,19540,"Decatur, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.682761
2009,19580,"Defiance, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.572354
2009,19620,"Del Rio, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.520375
2009,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.570572
2009,19700,"Deming, NM Micropolitan Statistical Area",0,,Employment Rate,bottom,0.442155
2009,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.665523
2009,19760,"DeRidder, LA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.573188
2009,19780,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.680715
2009,19820,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.461585
2009,19860,"Dickinson, ND Micropolitan Statistical Area",0,,Employment Rate,bottom,0.730562
2009,19940,"Dixon, IL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.640868
2009,19980,"Dodge City, KS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.764026
2009,20020,"Dothan, AL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.541579
2009,20060,"Douglas, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.451934
2009,20100,"Dover, DE Metropolitan Statistical Area",0,,Employment Rate,bottom,0.640617
2009,20140,"Dublin, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.45684
2009,20180,"DuBois, PA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.466271
2009,20220,"Dubuque, IA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.743889
2009,20260,"Duluth, MN-WI Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.590597
2009,20300,"Dumas, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,20340,"Duncan, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.65784
2009,20420,"Durango, CO Micropolitan Statistical Area",0,,Employment Rate,bottom,0.735995
2009,20460,"Durant, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.50217
2009,20500,"Durham-Chapel Hill, NC Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.515226
2009,20540,"Dyersburg, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.549254
2009,20580,"Eagle Pass, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.584281
2009,20660,"Easton, MD Micropolitan Statistical Area",0,,Employment Rate,bottom,0.698538
2009,20700,"East Stroudsburg, PA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.66626
2009,20740,"Eau Claire, WI Metropolitan Statistical Area",0,,Employment Rate,bottom,0.70916
2009,20780,"Edwards, CO Micropolitan Statistical Area",0,,Employment Rate,bottom,0.769106
2009,20820,"Effingham, IL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.734752
2009,20900,"El Campo, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.654482
2009,20940,"El Centro, CA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.27062
2009,20980,"El Dorado, AR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.458027
2009,21020,"Elizabeth City, NC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.51765
2009,21060,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.565782
2009,21120,"Elk City, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,21140,"Elkhart-Goshen, IN Metropolitan Statistical Area",0,,Employment Rate,bottom,0.661073
2009,21180,"Elkins, WV Micropolitan Statistical Area",0,,Employment Rate,bottom,0.404992
2009,21220,"Elko, NV Micropolitan Statistical Area",0,,Employment Rate,bottom,0.598495
2009,21260,"Ellensburg, WA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.558836
2009,21300,"Elmira, NY Metropolitan Statistical Area",0,,Employment Rate,bottom,0.401596
2009,21340,"El Paso, TX Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.508352
2009,21380,"Emporia, KS Micropolitan Statistical Area",0,,Employment Rate,bottom,0.615729
2009,21420,"Enid, OK Metropolitan Statistical Area",0,,Employment Rate,bottom,0.645098
2009,21460,"Enterprise, AL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.532444
2009,21500,"Erie, PA Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.493673
2009,21540,"Escanaba, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.559985
2009,21580,"Espa켹la, NM Micropolitan Statistical Area",0,,Employment Rate,bottom,0.60305
2009,21640,"Eufaula, AL-GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.360261
2009,21660,"Eugene-Springfield, OR Metropolitan Statistical Area ",1,Midsized,Employment Rate,bottom,0.576458
2009,21700,"Eureka-Arcata, CA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.540426
2009,21740,"Evanston, WY Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,21780,"Evansville, IN-KY Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.582389
2009,21820,"Fairbanks, AK Metropolitan Statistical Area",0,,Employment Rate,bottom,0.630861
2009,21840,"Fairfield, IA Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,21860,"Fairmont, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.723326
2009,21900,"Fairmont, WV Micropolitan Statistical Area",0,,Employment Rate,bottom,0.50538
2009,21980,"Fallon, NV Micropolitan Statistical Area",0,,Employment Rate,bottom,0.25
2009,22020,"Fargo, ND-MN Metropolitan Statistical Area",0,,Employment Rate,bottom,0.72871
2009,22060,"Faribault-Northfield, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.52284
2009,22100,"Farmington, MO Micropolitan Statistical Area",0,,Employment Rate,bottom,0.390525
2009,22140,"Farmington, NM Metropolitan Statistical Area",0,,Employment Rate,bottom,0.569699
2009,22180,"Fayetteville, NC Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.507751
2009,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.637991
2009,22260,"Fergus Falls, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.685739
