year,cbsa,cbsa_name,indicator,value,topmetro,metrosize,overallrank,sizerank
2014-2019,10740,"Albuquerque, NM Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12004631,1,Large,178,51
2018-2019,10740,"Albuquerque, NM Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.033863503,1,Large,171,47
2009-2019,10780,"Alexandria, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.23081988,0,,,
2014-2019,10780,"Alexandria, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0063802642,0,,,
2018-2019,10780,"Alexandria, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.081219271,0,,,
2009-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.045501553,1,Large,69,18
2014-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.088943206,1,Large,122,38
2018-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.083199404,1,Large,37,13
2009-2019,11020,"Altoona, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.17979197,0,,,
2014-2019,11020,"Altoona, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20228696,0,,,
2018-2019,11020,"Altoona, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.25383306,0,,,
2009-2019,11100,"Amarillo, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.053701967,1,Midsized,126,47
2014-2019,11100,"Amarillo, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16485925,1,Midsized,75,33
2018-2019,11100,"Amarillo, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.012325149,1,Midsized,157,65
2009-2019,11180,"Ames, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.079951979,0,,,
2014-2019,11180,"Ames, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.061201882,0,,,
2018-2019,11180,"Ames, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.033787191,0,,,
2009-2019,11260,"Anchorage, AK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,1,Midsized,,
2014-2019,11260,"Anchorage, AK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,1,Midsized,,
2018-2019,11260,"Anchorage, AK Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,1,Midsized,,
2009-2019,11460,"Ann Arbor, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12983704,1,Midsized,150,58
2014-2019,11460,"Ann Arbor, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.064047895,1,Midsized,140,57
2018-2019,11460,"Ann Arbor, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.001775788,1,Midsized,141,59
2009-2019,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.27643543,0,,,
2014-2019,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.034546804,0,,,
2018-2019,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.067458794,0,,,
2009-2019,11540,"Appleton, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0092647346,0,,,
2014-2019,11540,"Appleton, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.5172618,0,,,
2018-2019,11540,"Appleton, WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13929684,0,,,
2009-2019,11700,"Asheville, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16645782,1,Midsized,24,11
2014-2019,11700,"Asheville, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.17368919,1,Midsized,70,31
2018-2019,11700,"Asheville, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.054469932,1,Midsized,66,35
2009-2019,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13472055,0,,,
2014-2019,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27694386,0,,,
2018-2019,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.081077643,0,,,
2009-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11549012,1,Very Large,46,13
2014-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.081226103,1,Very Large,129,36
2018-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.034301803,1,Very Large,94,24
2009-2019,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27058062,1,Midsized,9,6
2014-2019,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19552147,1,Midsized,56,27
2018-2019,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.54812139,1,Midsized,1,1
2009-2019,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11445987,0,,,
2014-2019,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20329067,0,,,
2018-2019,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.010749386,0,,,
2009-2019,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.29481301,1,Large,178,51
2014-2019,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.22112258,1,Large,185,54
2018-2019,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.098924875,1,Large,31,10
2009-2019,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.47506222,1,Very Large,4,1
2014-2019,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.35259587,1,Very Large,12,1
2018-2019,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.074648835,1,Very Large,42,5
2009-2019,12540,"Bakersfield, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.1594182,1,Large,158,47
2014-2019,12540,"Bakersfield, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.094123974,1,Large,118,36
2018-2019,12540,"Bakersfield, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.037633646,1,Large,175,50
2009-2019,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.04764308,1,Very Large,123,42
2014-2019,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.05825787,1,Very Large,141,43
2018-2019,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.001808852,1,Very Large,140,43
2009-2019,12620,"Bangor, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.2713322,0,,,
2014-2019,12620,"Bangor, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.10612329,0,,,
2018-2019,12620,"Bangor, ME Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.014595211,0,,,
2014-2019,12700,"Barnstable Town, MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.32964474,0,,,
2018-2019,12700,"Barnstable Town, MA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.041514598,0,,,
2009-2019,12940,"Baton Rouge, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.012742621,1,Large,109,30
2014-2019,12940,"Baton Rouge, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.12899655,1,Large,97,28
2018-2019,12940,"Baton Rouge, LA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.042939909,1,Large,85,24
2009-2019,12980,"Battle Creek, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.003731343,0,,,
2014-2019,12980,"Battle Creek, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.075528704,0,,,
2018-2019,12980,"Battle Creek, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10597169,0,,,
2009-2019,13020,"Bay City, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.35781857,0,,,
2014-2019,13020,"Bay City, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.11367127,0,,,
2018-2019,13020,"Bay City, MI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.001298139,0,,,
2009-2019,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.20864074,1,Midsized,166,67
2014-2019,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.038370509,1,Midsized,172,72
2018-2019,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.10278372,1,Midsized,184,79
2009-2019,13220,"Beckley, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.23975366,0,,,
2014-2019,13220,"Beckley, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.014317181,0,,,
2018-2019,13220,"Beckley, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10562076,0,,,
2009-2019,13380,"Bellingham, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.022683501,0,,,
2014-2019,13380,"Bellingham, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.26411849,0,,,
2018-2019,13380,"Bellingham, WA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11230071,0,,,
2009-2019,13460,"Bend, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16259779,0,,,
2014-2019,13460,"Bend, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.45585459,0,,,
2018-2019,13460,"Bend, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.039002612,0,,,
2009-2019,13740,"Billings, MT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.28942773,0,,,
2014-2019,13740,"Billings, MT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.027832443,0,,,
2018-2019,13740,"Billings, MT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.018867925,0,,,
2009-2019,13780,"Binghamton, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.20002797,0,,,
2014-2019,13780,"Binghamton, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.044763654,0,,,
2018-2019,13780,"Binghamton, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.094754979,0,,,
2009-2019,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.1118105,1,Very Large,145,48
2014-2019,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16589297,1,Very Large,73,19
2018-2019,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.057743754,1,Very Large,61,8
2009-2019,13900,"Bismarck, ND Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2014-2019,13900,"Bismarck, ND Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2018-2019,13900,"Bismarck, ND Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2009-2019,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.085998274,0,,,
2014-2019,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.013173653,0,,,
2018-2019,13980,"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11374407,0,,,
2009-2019,14010,"Bloomington, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.19065078,0,,,
2014-2019,14010,"Bloomington, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.062788367,0,,,
2018-2019,14010,"Bloomington, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.076173067,0,,,
2009-2019,14020,"Bloomington, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.16025642,0,,,
2014-2019,14020,"Bloomington, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.31370533,0,,,
2018-2019,14020,"Bloomington, IN Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0074935909,0,,,
2009-2019,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.07024315,0,,,
2014-2019,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.15984593,0,,,
2018-2019,14100,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27056962,0,,,
2009-2019,14260,"Boise City, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2224789,1,Large,12,3
2014-2019,14260,"Boise City, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.42678937,1,Large,8,4
2018-2019,14260,"Boise City, ID Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.12983945,1,Large,13,4
2009-2019,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,1,Very Large,,
2014-2019,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.17463125,1,Very Large,67,18
2018-2019,14460,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.053308051,1,Very Large,70,12
2009-2019,14500,"Boulder, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.19428572,1,Midsized,20,8
2014-2019,14500,"Boulder, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.12873241,1,Midsized,98,44
2018-2019,14500,"Boulder, CO Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.011011011,1,Midsized,154,64
2009-2019,14540,"Bowling Green, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.044354059,0,,,
2014-2019,14540,"Bowling Green, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.05518591,0,,,
2018-2019,14540,"Bowling Green, KY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.001851166,0,,,
2009-2019,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.032528855,1,Midsized,77,30
2014-2019,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.14702025,1,Midsized,89,40
2018-2019,14740,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area ",Percent Change in Employment at firms 0-5 years old,.060059249,1,Midsized,56,31
2009-2019,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.013721171,1,Large,90,25
2014-2019,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.049283154,1,Large,174,50
2018-2019,14860,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.036087416,1,Large,173,49
2009-2019,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.1693648,1,Midsized,160,63
2014-2019,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12756386,1,Midsized,180,76
2018-2019,15180,"Brownsville-Harlingen, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.036300849,1,Midsized,174,74
2009-2019,15260,"Brunswick, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.066246696,0,,,
2014-2019,15260,"Brunswick, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.18340145,0,,,
2018-2019,15260,"Brunswick, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.05452675,0,,,
2009-2019,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.098551109,1,Very Large,139,46
2014-2019,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.042796187,1,Very Large,147,45
2018-2019,15380,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.085305534,1,Very Large,35,3
2009-2019,15500,"Burlington, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.042399377,0,,,
2014-2019,15500,"Burlington, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.35649046,0,,,
2018-2019,15500,"Burlington, NC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.027247956,0,,,
2009-2019,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1588109,0,,,
2014-2019,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20640151,0,,,
2018-2019,15540,"Burlington-South Burlington, VT Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.069699496,0,,,
2009-2019,15680,"California-Lexington Park, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.16354737,0,,,
2014-2019,15680,"California-Lexington Park, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.37352246,0,,,
2018-2019,15680,"California-Lexington Park, MD Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14280094,0,,,
2009-2019,15940,"Canton-Massillon, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.14648841,1,Midsized,31,16
2014-2019,15940,"Canton-Massillon, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.014485717,1,Midsized,165,68
2018-2019,15940,"Canton-Massillon, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.042190842,1,Midsized,88,44
2009-2019,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20691039,1,Large,17,5
2014-2019,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.17420693,1,Large,69,21
2018-2019,15980,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.010234938,1,Large,130,37
2009-2019,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2014-2019,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2018-2019,16020,"Cape Girardeau, MO-IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2009-2019,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.19116136,0,,,
2014-2019,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.12942478,0,,,
2018-2019,16060,"Carbondale-Marion, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11040565,0,,,
2009-2019,16180,"Carson City, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.096203461,0,,,
2014-2019,16180,"Carson City, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1743295,0,,,
2018-2019,16180,"Carson City, NV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.13676402,0,,,
2009-2019,16220,"Casper, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.14997159,0,,,
2014-2019,16220,"Casper, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.068046629,0,,,
2018-2019,16220,"Casper, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.038159113,0,,,
2009-2019,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.11865563,1,Midsized,146,56
2014-2019,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.11608685,1,Midsized,106,48
2018-2019,16300,"Cedar Rapids, IA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10978901,1,Midsized,22,15
2009-2019,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.015129683,0,,,
2014-2019,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.46516463,0,,,
2018-2019,16540,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1268995,0,,,
2009-2019,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.13186678,0,,,
2014-2019,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.074372627,0,,,
2018-2019,16580,"Champaign-Urbana, IL Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1166614,0,,,
2009-2019,16620,"Charleston, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.240715,1,Midsized,173,74
2014-2019,16620,"Charleston, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.08669699,1,Midsized,124,52
2018-2019,16620,"Charleston, WV Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10475365,1,Midsized,25,17
2009-2019,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.1246921,1,Large,39,10
2014-2019,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.16258346,1,Large,79,23
2018-2019,16700,"Charleston-North Charleston, SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.064662896,1,Large,52,18
2009-2019,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.087003574,1,Very Large,55,17
2014-2019,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2084083,1,Very Large,51,11
2018-2019,16740,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.029546458,1,Very Large,101,28
2009-2019,16820,"Charlottesville, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.25548089,0,,,
2014-2019,16820,"Charlottesville, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.27244306,0,,,
2018-2019,16820,"Charlottesville, VA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.05479452,0,,,
2009-2019,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.031569079,1,Large,79,21
2014-2019,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.2801086,1,Large,22,9
2018-2019,16860,"Chattanooga, TN-GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.096031442,1,Large,33,12
2009-2019,16940,"Cheyenne, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.025191406,0,,,
2014-2019,16940,"Cheyenne, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20563462,0,,,
2018-2019,16940,"Cheyenne, WY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.37815404,0,,,
2009-2019,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.011457111,1,Very Large,92,32
2014-2019,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.078204215,1,Very Large,133,38
2018-2019,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.0030813611,1,Very Large,145,46
2009-2019,17020,"Chico, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.2491841,0,,,
2014-2019,17020,"Chico, CA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.011125158,0,,,
