year,cbsa,cbsaname,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2014-2019,10540,"Albany-Lebanon, OR",Total,Change in Median Earnings Gap,-4005.02,0,,,
2018-2019,10540,"Albany-Lebanon, OR",Total,Change in Median Earnings Gap,-4525.3701,0,,,
2009-2019,10580,"Albany-Schenectady-Troy, NY",Total,Change in Median Earnings Gap,5994.8398,1,Large,180,53
2014-2019,10580,"Albany-Schenectady-Troy, NY",Total,Change in Median Earnings Gap,4588.0698,1,Large,176,55
2018-2019,10580,"Albany-Schenectady-Troy, NY",Total,Change in Median Earnings Gap,3071.99,1,Large,166,50
2009-2019,10620,"Albemarle, NC",Total,Change in Median Earnings Gap,-4455.6001,0,,,
2014-2019,10620,"Albemarle, NC",Total,Change in Median Earnings Gap,-4695.7598,0,,,
2018-2019,10620,"Albemarle, NC",Total,Change in Median Earnings Gap,-1745.4,0,,,
2009-2019,10660,"Albert Lea, MN",Total,Change in Median Earnings Gap,20331.91,0,,,
2014-2019,10660,"Albert Lea, MN",Total,Change in Median Earnings Gap,14943.97,0,,,
2018-2019,10660,"Albert Lea, MN",Total,Change in Median Earnings Gap,7850.6802,0,,,
2009-2019,10700,"Albertville, AL",Total,Change in Median Earnings Gap,-8669.5498,0,,,
2014-2019,10700,"Albertville, AL",Total,Change in Median Earnings Gap,-10340.06,0,,,
2018-2019,10700,"Albertville, AL",Total,Change in Median Earnings Gap,-8185.9502,0,,,
2009-2019,10740,"Albuquerque, NM",Total,Change in Median Earnings Gap,-875.5,1,Large,68,20
2014-2019,10740,"Albuquerque, NM",Total,Change in Median Earnings Gap,1314.42,1,Large,127,38
2018-2019,10740,"Albuquerque, NM",Total,Change in Median Earnings Gap,2772.6101,1,Large,160,49
2009-2019,10760,"Alexander City, AL",Total,Change in Median Earnings Gap,-6255.8501,0,,,
2014-2019,10760,"Alexander City, AL",Total,Change in Median Earnings Gap,-9499.25,0,,,
2018-2019,10760,"Alexander City, AL",Total,Change in Median Earnings Gap,-3451.71,0,,,
2009-2019,10780,"Alexandria, LA",Total,Change in Median Earnings Gap,3607.3,0,,,
2014-2019,10780,"Alexandria, LA",Total,Change in Median Earnings Gap,9179.1201,0,,,
2018-2019,10780,"Alexandria, LA",Total,Change in Median Earnings Gap,3945.27,0,,,
2009-2019,10820,"Alexandria, MN",Total,Change in Median Earnings Gap,2168.7,0,,,
2014-2019,10820,"Alexandria, MN",Total,Change in Median Earnings Gap,-3528.4099,0,,,
2018-2019,10820,"Alexandria, MN",Total,Change in Median Earnings Gap,6663.6401,0,,,
2009-2019,10860,"Alice, TX",Total,Change in Median Earnings Gap,6725.9199,0,,,
2014-2019,10860,"Alice, TX",Total,Change in Median Earnings Gap,14167.83,0,,,
2018-2019,10860,"Alice, TX",Total,Change in Median Earnings Gap,-8103.5098,0,,,
2009-2019,4,All Metropolitan Areas,Total,Change in Median Earnings Gap,1556.46,0,,,
2014-2019,4,All Metropolitan Areas,Total,Change in Median Earnings Gap,-0.52999997,0,,,
2018-2019,4,All Metropolitan Areas,Total,Change in Median Earnings Gap,60.34,0,,,
2009-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Change in Median Earnings Gap,6536.8599,1,Large,182,55
2014-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Change in Median Earnings Gap,1642.0699,1,Large,134,40
2018-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Change in Median Earnings Gap,1553.15,1,Large,138,42
2009-2019,10940,"Alma, MI",Total,Change in Median Earnings Gap,5244.3301,0,,,
2014-2019,10940,"Alma, MI",Total,Change in Median Earnings Gap,-3003.8899,0,,,
2018-2019,10940,"Alma, MI",Total,Change in Median Earnings Gap,-1178.85,0,,,
2009-2019,10980,"Alpena, MI",Total,Change in Median Earnings Gap,4147.3101,0,,,
2014-2019,10980,"Alpena, MI",Total,Change in Median Earnings Gap,8094.5698,0,,,
2018-2019,10980,"Alpena, MI",Total,Change in Median Earnings Gap,13582.95,0,,,
2009-2019,11020,"Altoona, PA",Total,Change in Median Earnings Gap,1173.08,0,,,
2014-2019,11020,"Altoona, PA",Total,Change in Median Earnings Gap,-10073.87,0,,,
2018-2019,11020,"Altoona, PA",Total,Change in Median Earnings Gap,-11062.66,0,,,
2009-2019,11060,"Altus, OK",Total,Change in Median Earnings Gap,-1940.52,0,,,
2014-2019,11060,"Altus, OK",Total,Change in Median Earnings Gap,-753.27002,0,,,
2018-2019,11060,"Altus, OK",Total,Change in Median Earnings Gap,-6776.3301,0,,,
2009-2019,11100,"Amarillo, TX",Total,Change in Median Earnings Gap,1084.4399,1,Midsized,117,48
2014-2019,11100,"Amarillo, TX",Total,Change in Median Earnings Gap,-6917.5,1,Midsized,5,4
2018-2019,11100,"Amarillo, TX",Total,Change in Median Earnings Gap,-2068.29,1,Midsized,53,23
2009-2019,11140,"Americus, GA",Total,Change in Median Earnings Gap,3790.3101,0,,,
2014-2019,11140,"Americus, GA",Total,Change in Median Earnings Gap,-1089.61,0,,,
2018-2019,11140,"Americus, GA",Total,Change in Median Earnings Gap,1858.13,0,,,
2009-2019,11180,"Ames, IA",Total,Change in Median Earnings Gap,8919.1797,0,,,
2014-2019,11180,"Ames, IA",Total,Change in Median Earnings Gap,4974.6299,0,,,
2018-2019,11180,"Ames, IA",Total,Change in Median Earnings Gap,6982.0298,0,,,
2009-2019,11220,"Amsterdam, NY",Total,Change in Median Earnings Gap,-1241.05,0,,,
2014-2019,11220,"Amsterdam, NY",Total,Change in Median Earnings Gap,-413.63,0,,,
2018-2019,11220,"Amsterdam, NY",Total,Change in Median Earnings Gap,-3536.3701,0,,,
2009-2019,11260,"Anchorage, AK",Total,Change in Median Earnings Gap,-2007.46,1,Midsized,44,26
2014-2019,11260,"Anchorage, AK",Total,Change in Median Earnings Gap,-1395.9399,1,Midsized,53,24
2018-2019,11260,"Anchorage, AK",Total,Change in Median Earnings Gap,-5710.2798,1,Midsized,11,6
2009-2019,11380,"Andrews, TX",Total,Change in Median Earnings Gap,3151.3999,0,,,
2014-2019,11380,"Andrews, TX",Total,Change in Median Earnings Gap,3658.5901,0,,,
2018-2019,11380,"Andrews, TX",Total,Change in Median Earnings Gap,4875.77,0,,,
2009-2019,11420,"Angola, IN",Total,Change in Median Earnings Gap,-2458.3799,0,,,
2014-2019,11420,"Angola, IN",Total,Change in Median Earnings Gap,1970.05,0,,,
2018-2019,11420,"Angola, IN",Total,Change in Median Earnings Gap,-10088.07,0,,,
2009-2019,11460,"Ann Arbor, MI",Total,Change in Median Earnings Gap,2302.6699,1,Midsized,135,56
2014-2019,11460,"Ann Arbor, MI",Total,Change in Median Earnings Gap,5749.9502,1,Midsized,184,76
2018-2019,11460,"Ann Arbor, MI",Total,Change in Median Earnings Gap,5308.5601,1,Midsized,182,77
2009-2019,11500,"Anniston-Oxford, AL",Total,Change in Median Earnings Gap,-4164.1299,0,,,
2014-2019,11500,"Anniston-Oxford, AL",Total,Change in Median Earnings Gap,-1697.78,0,,,
2018-2019,11500,"Anniston-Oxford, AL",Total,Change in Median Earnings Gap,-1093.61,0,,,
2009-2019,11540,"Appleton, WI",Total,Change in Median Earnings Gap,1783.38,0,,,
2014-2019,11540,"Appleton, WI",Total,Change in Median Earnings Gap,758.37,0,,,
2018-2019,11540,"Appleton, WI",Total,Change in Median Earnings Gap,1374.53,0,,,
2009-2019,11580,"Arcadia, FL",Total,Change in Median Earnings Gap,986.69,0,,,
2014-2019,11580,"Arcadia, FL",Total,Change in Median Earnings Gap,-1432.5,0,,,
2018-2019,11580,"Arcadia, FL",Total,Change in Median Earnings Gap,5834.9399,0,,,
2009-2019,11620,"Ardmore, OK",Total,Change in Median Earnings Gap,-1021.97,0,,,
2014-2019,11620,"Ardmore, OK",Total,Change in Median Earnings Gap,2371.8201,0,,,
2018-2019,11620,"Ardmore, OK",Total,Change in Median Earnings Gap,-226.53,0,,,
2009-2019,11660,"Arkadelphia, AR",Total,Change in Median Earnings Gap,-5192.1499,0,,,
2014-2019,11660,"Arkadelphia, AR",Total,Change in Median Earnings Gap,-11431.5,0,,,
2018-2019,11660,"Arkadelphia, AR",Total,Change in Median Earnings Gap,-1465.3101,0,,,
2009-2019,11700,"Asheville, NC",Total,Change in Median Earnings Gap,-46.68,1,Midsized,88,43
2014-2019,11700,"Asheville, NC",Total,Change in Median Earnings Gap,939.39001,1,Midsized,119,51
2018-2019,11700,"Asheville, NC",Total,Change in Median Earnings Gap,807.97998,1,Midsized,122,47
2009-2019,11740,"Ashland, OH",Total,Change in Median Earnings Gap,-12461.08,0,,,
2014-2019,11740,"Ashland, OH",Total,Change in Median Earnings Gap,-10705.76,0,,,
2018-2019,11740,"Ashland, OH",Total,Change in Median Earnings Gap,-9045.6201,0,,,
2009-2019,11780,"Ashtabula, OH",Total,Change in Median Earnings Gap,6523.9199,0,,,
2014-2019,11780,"Ashtabula, OH",Total,Change in Median Earnings Gap,-1523.7,0,,,
2018-2019,11780,"Ashtabula, OH",Total,Change in Median Earnings Gap,417.48001,0,,,
2009-2019,11820,"Astoria, OR",Total,Change in Median Earnings Gap,3327.1101,0,,,
2014-2019,11820,"Astoria, OR",Total,Change in Median Earnings Gap,-7671.6499,0,,,
2018-2019,11820,"Astoria, OR",Total,Change in Median Earnings Gap,-2274.98,0,,,
2009-2019,11860,"Atchison, KS",Total,Change in Median Earnings Gap,2440.75,0,,,
2014-2019,11860,"Atchison, KS",Total,Change in Median Earnings Gap,-3338.0701,0,,,
2018-2019,11860,"Atchison, KS",Total,Change in Median Earnings Gap,-5290.1099,0,,,
2009-2019,11900,"Athens, OH",Total,Change in Median Earnings Gap,9523.1504,0,,,
2014-2019,11900,"Athens, OH",Total,Change in Median Earnings Gap,6560.3599,0,,,
2018-2019,11900,"Athens, OH",Total,Change in Median Earnings Gap,8190.6899,0,,,
2009-2019,11940,"Athens, TN",Total,Change in Median Earnings Gap,-7907.8799,0,,,
2014-2019,11940,"Athens, TN",Total,Change in Median Earnings Gap,-11547.3,0,,,
2018-2019,11940,"Athens, TN",Total,Change in Median Earnings Gap,-810.12,0,,,
2009-2019,11980,"Athens, TX",Total,Change in Median Earnings Gap,-10905.55,0,,,
2014-2019,11980,"Athens, TX",Total,Change in Median Earnings Gap,-7002.3901,0,,,
2018-2019,11980,"Athens, TX",Total,Change in Median Earnings Gap,-9582.3496,0,,,
2009-2019,12020,"Athens-Clarke County, GA",Total,Change in Median Earnings Gap,4843.3999,0,,,
2014-2019,12020,"Athens-Clarke County, GA",Total,Change in Median Earnings Gap,1164.0699,0,,,
2018-2019,12020,"Athens-Clarke County, GA",Total,Change in Median Earnings Gap,1357.59,0,,,
2009-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Change in Median Earnings Gap,-912.12,1,Very Large,67,13
2014-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Change in Median Earnings Gap,2457.1399,1,Very Large,154,48
2018-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Change in Median Earnings Gap,576.02002,1,Very Large,112,34
2009-2019,12100,"Atlantic City-Hammonton, NJ",Total,Change in Median Earnings Gap,-948.53998,1,Midsized,65,35
2014-2019,12100,"Atlantic City-Hammonton, NJ",Total,Change in Median Earnings Gap,-7426.6001,1,Midsized,2,2
2018-2019,12100,"Atlantic City-Hammonton, NJ",Total,Change in Median Earnings Gap,-2964.0701,1,Midsized,33,17
2009-2019,12120,"Atmore, AL",Total,Change in Median Earnings Gap,-63.810001,0,,,
2014-2019,12120,"Atmore, AL",Total,Change in Median Earnings Gap,-1359.42,0,,,
2018-2019,12120,"Atmore, AL",Total,Change in Median Earnings Gap,8796.3799,0,,,
2009-2019,12140,"Auburn, IN",Total,Change in Median Earnings Gap,-2515.04,0,,,
2014-2019,12140,"Auburn, IN",Total,Change in Median Earnings Gap,1958.39,0,,,
2018-2019,12140,"Auburn, IN",Total,Change in Median Earnings Gap,-10147.93,0,,,
2009-2019,12180,"Auburn, NY",Total,Change in Median Earnings Gap,2426.3,0,,,
2014-2019,12180,"Auburn, NY",Total,Change in Median Earnings Gap,2576.5701,0,,,
2018-2019,12180,"Auburn, NY",Total,Change in Median Earnings Gap,-3376.47,0,,,
2009-2019,12220,"Auburn-Opelika, AL",Total,Change in Median Earnings Gap,3415.8,0,,,
2014-2019,12220,"Auburn-Opelika, AL",Total,Change in Median Earnings Gap,9072.0098,0,,,
2018-2019,12220,"Auburn-Opelika, AL",Total,Change in Median Earnings Gap,-4820.3599,0,,,
2009-2019,12260,"Augusta-Richmond County, GA-SC",Total,Change in Median Earnings Gap,-26.950001,1,Large,89,28
2014-2019,12260,"Augusta-Richmond County, GA-SC",Total,Change in Median Earnings Gap,-6952.04,1,Large,4,1
2018-2019,12260,"Augusta-Richmond County, GA-SC",Total,Change in Median Earnings Gap,-4334.2402,1,Large,18,7
2009-2019,12300,"Augusta-Waterville, ME",Total,Change in Median Earnings Gap,9426.4297,0,,,
2014-2019,12300,"Augusta-Waterville, ME",Total,Change in Median Earnings Gap,13295.25,0,,,
2018-2019,12300,"Augusta-Waterville, ME",Total,Change in Median Earnings Gap,2855.77,0,,,
2009-2019,12380,"Austin, MN",Total,Change in Median Earnings Gap,20269.029,0,,,
2014-2019,12380,"Austin, MN",Total,Change in Median Earnings Gap,14886.19,0,,,
2018-2019,12380,"Austin, MN",Total,Change in Median Earnings Gap,7816.2402,0,,,
2009-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Change in Median Earnings Gap,673.06,1,Very Large,108,24
2014-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Change in Median Earnings Gap,2187.6699,1,Very Large,147,43
2018-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Change in Median Earnings Gap,-962.72998,1,Very Large,73,21
2009-2019,12460,"Bainbridge, GA",Total,Change in Median Earnings Gap,-2948.71,0,,,
2014-2019,12460,"Bainbridge, GA",Total,Change in Median Earnings Gap,-1779.53,0,,,
2018-2019,12460,"Bainbridge, GA",Total,Change in Median Earnings Gap,-9732.4004,0,,,
2009-2019,12540,"Bakersfield, CA",Total,Change in Median Earnings Gap,234.07001,1,Large,95,31
2014-2019,12540,"Bakersfield, CA",Total,Change in Median Earnings Gap,1270.28,1,Large,126,37
2018-2019,12540,"Bakersfield, CA",Total,Change in Median Earnings Gap,4548.2598,1,Large,176,53
2009-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Change in Median Earnings Gap,-2339.6699,1,Very Large,38,3
2014-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Change in Median Earnings Gap,-4205.79,1,Very Large,18,1
2018-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Change in Median Earnings Gap,-2838.3201,1,Very Large,35,6
2009-2019,12620,"Bangor, ME",Total,Change in Median Earnings Gap,2703.0701,0,,,
2014-2019,12620,"Bangor, ME",Total,Change in Median Earnings Gap,2618,0,,,
2018-2019,12620,"Bangor, ME",Total,Change in Median Earnings Gap,-1424.65,0,,,
2009-2019,12660,"Baraboo, WI",Total,Change in Median Earnings Gap,-3667.1499,0,,,
2014-2019,12660,"Baraboo, WI",Total,Change in Median Earnings Gap,3216.0601,0,,,
2018-2019,12660,"Baraboo, WI",Total,Change in Median Earnings Gap,6769.2202,0,,,
2009-2019,12680,"Bardstown, KY",Total,Change in Median Earnings Gap,-12197.67,0,,,
2014-2019,12680,"Bardstown, KY",Total,Change in Median Earnings Gap,-7390.1602,0,,,
2018-2019,12680,"Bardstown, KY",Total,Change in Median Earnings Gap,598.38,0,,,
2009-2019,12700,"Barnstable Town, MA",Total,Change in Median Earnings Gap,1638.16,0,,,
2014-2019,12700,"Barnstable Town, MA",Total,Change in Median Earnings Gap,-8478.1602,0,,,
2018-2019,12700,"Barnstable Town, MA",Total,Change in Median Earnings Gap,-8219.79,0,,,
2009-2019,12740,"Barre, VT",Total,Change in Median Earnings Gap,9256.4297,0,,,
2014-2019,12740,"Barre, VT",Total,Change in Median Earnings Gap,-1538.53,0,,,
2018-2019,12740,"Barre, VT",Total,Change in Median Earnings Gap,9280.1201,0,,,
2009-2019,12780,"Bartlesville, OK",Total,Change in Median Earnings Gap,-481.84,0,,,
2014-2019,12780,"Bartlesville, OK",Total,Change in Median Earnings Gap,4185.1499,0,,,
2018-2019,12780,"Bartlesville, OK",Total,Change in Median Earnings Gap,4206.29,0,,,
2009-2019,12860,"Batavia, NY",Total,Change in Median Earnings Gap,1552,0,,,
2014-2019,12860,"Batavia, NY",Total,Change in Median Earnings Gap,-8431.3604,0,,,
2018-2019,12860,"Batavia, NY",Total,Change in Median Earnings Gap,6931.3501,0,,,
2009-2019,12900,"Batesville, AR",Total,Change in Median Earnings Gap,6703,0,,,
2014-2019,12900,"Batesville, AR",Total,Change in Median Earnings Gap,3975.3401,0,,,
2018-2019,12900,"Batesville, AR",Total,Change in Median Earnings Gap,7852.21,0,,,
2009-2019,12940,"Baton Rouge, LA",Total,Change in Median Earnings Gap,-197.87,1,Large,85,26
2014-2019,12940,"Baton Rouge, LA",Total,Change in Median Earnings Gap,-3910.05,1,Large,23,10
2018-2019,12940,"Baton Rouge, LA",Total,Change in Median Earnings Gap,-1623.83,1,Large,61,20
2009-2019,12980,"Battle Creek, MI",Total,Change in Median Earnings Gap,7060.23,0,,,
2014-2019,12980,"Battle Creek, MI",Total,Change in Median Earnings Gap,5787.4902,0,,,
2018-2019,12980,"Battle Creek, MI",Total,Change in Median Earnings Gap,8605.1797,0,,,
2009-2019,13020,"Bay City, MI",Total,Change in Median Earnings Gap,-4381.5698,0,,,
2014-2019,13020,"Bay City, MI",Total,Change in Median Earnings Gap,-10847.65,0,,,
2018-2019,13020,"Bay City, MI",Total,Change in Median Earnings Gap,-7854.3599,0,,,
2009-2019,13060,"Bay City, TX",Total,Change in Median Earnings Gap,-2484.23,0,,,
2014-2019,13060,"Bay City, TX",Total,Change in Median Earnings Gap,-9068.9297,0,,,
2018-2019,13060,"Bay City, TX",Total,Change in Median Earnings Gap,-8492.0898,0,,,
2009-2019,13100,"Beatrice, NE",Total,Change in Median Earnings Gap,-7715.5898,0,,,
2014-2019,13100,"Beatrice, NE",Total,Change in Median Earnings Gap,-6279.9502,0,,,
2018-2019,13100,"Beatrice, NE",Total,Change in Median Earnings Gap,-6382.3398,0,,,
2009-2019,13140,"Beaumont-Port Arthur, TX",Total,Change in Median Earnings Gap,1104.89,1,Midsized,118,49
2014-2019,13140,"Beaumont-Port Arthur, TX",Total,Change in Median Earnings Gap,4484.9702,1,Midsized,175,70
2018-2019,13140,"Beaumont-Port Arthur, TX",Total,Change in Median Earnings Gap,1137.54,1,Midsized,130,50
2009-2019,13180,"Beaver Dam, WI",Total,Change in Median Earnings Gap,-8723.2998,0,,,
2014-2019,13180,"Beaver Dam, WI",Total,Change in Median Earnings Gap,-16632.801,0,,,
2018-2019,13180,"Beaver Dam, WI",Total,Change in Median Earnings Gap,-14406.14,0,,,
2009-2019,13220,"Beckley, WV",Total,Change in Median Earnings Gap,3836.53,0,,,
2014-2019,13220,"Beckley, WV",Total,Change in Median Earnings Gap,-1671.09,0,,,
2018-2019,13220,"Beckley, WV",Total,Change in Median Earnings Gap,-8973.6504,0,,,
2009-2019,13260,"Bedford, IN",Total,Change in Median Earnings Gap,-6046.3599,0,,,
2014-2019,13260,"Bedford, IN",Total,Change in Median Earnings Gap,-12320.09,0,,,
2018-2019,13260,"Bedford, IN",Total,Change in Median Earnings Gap,6184.0298,0,,,
2009-2019,13300,"Beeville, TX",Total,Change in Median Earnings Gap,-5406.0098,0,,,
2014-2019,13300,"Beeville, TX",Total,Change in Median Earnings Gap,-4270.48,0,,,
2018-2019,13300,"Beeville, TX",Total,Change in Median Earnings Gap,-4969.0498,0,,,
2009-2019,13340,"Bellefontaine, OH",Total,Change in Median Earnings Gap,-12824.84,0,,,
2014-2019,13340,"Bellefontaine, OH",Total,Change in Median Earnings Gap,-20439.59,0,,,
2018-2019,13340,"Bellefontaine, OH",Total,Change in Median Earnings Gap,-3337.6499,0,,,
2009-2019,13380,"Bellingham, WA",Total,Change in Median Earnings Gap,-4331.27,0,,,
2014-2019,13380,"Bellingham, WA",Total,Change in Median Earnings Gap,-4116.3501,0,,,
2018-2019,13380,"Bellingham, WA",Total,Change in Median Earnings Gap,-843.08002,0,,,
2009-2019,13420,"Bemidji, MN",Total,Change in Median Earnings Gap,-12895.43,0,,,
2014-2019,13420,"Bemidji, MN",Total,Change in Median Earnings Gap,-4430.5098,0,,,
2018-2019,13420,"Bemidji, MN",Total,Change in Median Earnings Gap,-7223.9902,0,,,
2009-2019,13460,"Bend, OR",Total,Change in Median Earnings Gap,-7831.3599,0,,,
2014-2019,13460,"Bend, OR",Total,Change in Median Earnings Gap,-10015.41,0,,,
2018-2019,13460,"Bend, OR",Total,Change in Median Earnings Gap,4789.29,0,,,
2009-2019,13500,"Bennettsville, SC",Total,Change in Median Earnings Gap,4038.5901,0,,,
2014-2019,13500,"Bennettsville, SC",Total,Change in Median Earnings Gap,3964.22,0,,,
2018-2019,13500,"Bennettsville, SC",Total,Change in Median Earnings Gap,11303.27,0,,,
2009-2019,13540,"Bennington, VT",Total,Change in Median Earnings Gap,3727.5901,0,,,
2014-2019,13540,"Bennington, VT",Total,Change in Median Earnings Gap,26810.16,0,,,
2018-2019,13540,"Bennington, VT",Total,Change in Median Earnings Gap,24109.961,0,,,
2009-2019,13620,"Berlin, NH",Total,Change in Median Earnings Gap,4059.51,0,,,
2014-2019,13620,"Berlin, NH",Total,Change in Median Earnings Gap,-13122.94,0,,,
2018-2019,13620,"Berlin, NH",Total,Change in Median Earnings Gap,-15757.25,0,,,
2009-2019,13660,"Big Rapids, MI",Total,Change in Median Earnings Gap,1636.83,0,,,
2014-2019,13660,"Big Rapids, MI",Total,Change in Median Earnings Gap,7966.4502,0,,,
2018-2019,13660,"Big Rapids, MI",Total,Change in Median Earnings Gap,654.88,0,,,
2009-2019,13700,"Big Spring, TX",Total,Change in Median Earnings Gap,-5990.6602,0,,,
2014-2019,13700,"Big Spring, TX",Total,Change in Median Earnings Gap,-4497.6899,0,,,
2018-2019,13700,"Big Spring, TX",Total,Change in Median Earnings Gap,-3996.8301,0,,,
2009-2019,13720,"Big Stone Gap, VA",Total,Change in Median Earnings Gap,1716.28,0,,,
2014-2019,13720,"Big Stone Gap, VA",Total,Change in Median Earnings Gap,-7760.1099,0,,,
2018-2019,13720,"Big Stone Gap, VA",Total,Change in Median Earnings Gap,-651.10999,0,,,
2009-2019,13740,"Billings, MT",Total,Change in Median Earnings Gap,125.94,0,,,
2014-2019,13740,"Billings, MT",Total,Change in Median Earnings Gap,1282.09,0,,,
2018-2019,13740,"Billings, MT",Total,Change in Median Earnings Gap,7523.0298,0,,,
2009-2019,13780,"Binghamton, NY",Total,Change in Median Earnings Gap,1655.96,0,,,
2014-2019,13780,"Binghamton, NY",Total,Change in Median Earnings Gap,232.11,0,,,
2018-2019,13780,"Binghamton, NY",Total,Change in Median Earnings Gap,12205.84,0,,,
2009-2019,13820,"Birmingham-Hoover, AL",Total,Change in Median Earnings Gap,428.54001,1,Very Large,101,22
2014-2019,13820,"Birmingham-Hoover, AL",Total,Change in Median Earnings Gap,-23.07,1,Very Large,93,25
2018-2019,13820,"Birmingham-Hoover, AL",Total,Change in Median Earnings Gap,1683.53,1,Very Large,141,44
2009-2019,13900,"Bismarck, ND",Total,Change in Median Earnings Gap,4433.6602,0,,,
2014-2019,13900,"Bismarck, ND",Total,Change in Median Earnings Gap,-11961.02,0,,,
2018-2019,13900,"Bismarck, ND",Total,Change in Median Earnings Gap,-9479.1602,0,,,
2009-2019,13940,"Blackfoot, ID",Total,Change in Median Earnings Gap,-186.19,0,,,
2014-2019,13940,"Blackfoot, ID",Total,Change in Median Earnings Gap,2892.6001,0,,,
2018-2019,13940,"Blackfoot, ID",Total,Change in Median Earnings Gap,7630.1401,0,,,
2009-2019,13980,"Blacksburg-Christiansburg, VA",Total,Change in Median Earnings Gap,-2316.53,0,,,
2014-2019,13980,"Blacksburg-Christiansburg, VA",Total,Change in Median Earnings Gap,-5809.2998,0,,,
2018-2019,13980,"Blacksburg-Christiansburg, VA",Total,Change in Median Earnings Gap,-4908.8301,0,,,
2009-2019,14010,"Bloomington, IL",Total,Change in Median Earnings Gap,13363.55,0,,,
2014-2019,14010,"Bloomington, IL",Total,Change in Median Earnings Gap,6830.8799,0,,,
2018-2019,14010,"Bloomington, IL",Total,Change in Median Earnings Gap,2696.73,0,,,
2009-2019,14020,"Bloomington, IN",Total,Change in Median Earnings Gap,12147.67,0,,,
2014-2019,14020,"Bloomington, IN",Total,Change in Median Earnings Gap,1515.5699,0,,,
2018-2019,14020,"Bloomington, IN",Total,Change in Median Earnings Gap,2268.75,0,,,
2009-2019,14100,"Bloomsburg-Berwick, PA",Total,Change in Median Earnings Gap,-4701.3799,0,,,
2014-2019,14100,"Bloomsburg-Berwick, PA",Total,Change in Median Earnings Gap,-1826.54,0,,,
2018-2019,14100,"Bloomsburg-Berwick, PA",Total,Change in Median Earnings Gap,-13640.86,0,,,
2009-2019,14140,"Bluefield, WV-VA",Total,Change in Median Earnings Gap,-780.04999,0,,,
2014-2019,14140,"Bluefield, WV-VA",Total,Change in Median Earnings Gap,-4364.0801,0,,,
2018-2019,14140,"Bluefield, WV-VA",Total,Change in Median Earnings Gap,-8075.8999,0,,,
