year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2009-2019,11100,"Amarillo, TX",Total,Total,Percent Change in Median Earnings,0.072304,1,Midsized,119,51
2014-2019,11100,"Amarillo, TX",Total,Total,Percent Change in Median Earnings,-0.032793,1,Midsized,190,81
2018-2019,11100,"Amarillo, TX",Total,Total,Percent Change in Median Earnings,-0.146951,1,Midsized,192,82
2009-2019,11140,"Americus, GA",Total,Total,Percent Change in Median Earnings,-0.011708,0,,,
2014-2019,11140,"Americus, GA",Total,Total,Percent Change in Median Earnings,0.081146,0,,,
2018-2019,11140,"Americus, GA",Total,Total,Percent Change in Median Earnings,-0.065181,0,,,
2009-2019,11180,"Ames, IA",Total,Total,Percent Change in Median Earnings,-0.122454,0,,,
2014-2019,11180,"Ames, IA",Total,Total,Percent Change in Median Earnings,0.185911,0,,,
2018-2019,11180,"Ames, IA",Total,Total,Percent Change in Median Earnings,-0.012421,0,,,
2009-2019,11220,"Amsterdam, NY",Total,Total,Percent Change in Median Earnings,0.134005,0,,,
2014-2019,11220,"Amsterdam, NY",Total,Total,Percent Change in Median Earnings,0.142568,0,,,
2018-2019,11220,"Amsterdam, NY",Total,Total,Percent Change in Median Earnings,0.056769,0,,,
2009-2019,11260,"Anchorage, AK",Total,Total,Percent Change in Median Earnings,0.206338,1,Midsized,19,14
2014-2019,11260,"Anchorage, AK",Total,Total,Percent Change in Median Earnings,0.054499,1,Midsized,163,64
2018-2019,11260,"Anchorage, AK",Total,Total,Percent Change in Median Earnings,0.090679,1,Midsized,24,17
2009-2019,11380,"Andrews, TX",Total,Total,Percent Change in Median Earnings,0.174584,0,,,
2014-2019,11380,"Andrews, TX",Total,Total,Percent Change in Median Earnings,0.009398,0,,,
2018-2019,11380,"Andrews, TX",Total,Total,Percent Change in Median Earnings,0.051576,0,,,
2009-2019,11420,"Angola, IN",Total,Total,Percent Change in Median Earnings,0.136942,0,,,
2014-2019,11420,"Angola, IN",Total,Total,Percent Change in Median Earnings,0.05914,0,,,
2018-2019,11420,"Angola, IN",Total,Total,Percent Change in Median Earnings,-0.058191,0,,,
2009-2019,11460,"Ann Arbor, MI",Total,Total,Percent Change in Median Earnings,0.16719,1,Midsized,30,18
2014-2019,11460,"Ann Arbor, MI",Total,Total,Percent Change in Median Earnings,0.056242,1,Midsized,161,62
2018-2019,11460,"Ann Arbor, MI",Total,Total,Percent Change in Median Earnings,-0.018973,1,Midsized,164,68
2009-2019,11500,"Anniston-Oxford, AL",Total,Total,Percent Change in Median Earnings,-0.080836,0,,,
2014-2019,11500,"Anniston-Oxford, AL",Total,Total,Percent Change in Median Earnings,0.079907,0,,,
2018-2019,11500,"Anniston-Oxford, AL",Total,Total,Percent Change in Median Earnings,-0.053342,0,,,
2009-2019,11540,"Appleton, WI",Total,Total,Percent Change in Median Earnings,0.168327,0,,,
2014-2019,11540,"Appleton, WI",Total,Total,Percent Change in Median Earnings,0.251207,0,,,
2018-2019,11540,"Appleton, WI",Total,Total,Percent Change in Median Earnings,0.038424,0,,,
2009-2019,11580,"Arcadia, FL",Total,Total,Percent Change in Median Earnings,0.240856,0,,,
2014-2019,11580,"Arcadia, FL",Total,Total,Percent Change in Median Earnings,0.211432,0,,,
2018-2019,11580,"Arcadia, FL",Total,Total,Percent Change in Median Earnings,0.060774,0,,,
2009-2019,11620,"Ardmore, OK",Total,Total,Percent Change in Median Earnings,0.187115,0,,,
2014-2019,11620,"Ardmore, OK",Total,Total,Percent Change in Median Earnings,-0.018438,0,,,
2018-2019,11620,"Ardmore, OK",Total,Total,Percent Change in Median Earnings,0.028474,0,,,
2009-2019,11660,"Arkadelphia, AR",Total,Total,Percent Change in Median Earnings,0.061591,0,,,
2014-2019,11660,"Arkadelphia, AR",Total,Total,Percent Change in Median Earnings,0.108691,0,,,
2018-2019,11660,"Arkadelphia, AR",Total,Total,Percent Change in Median Earnings,0.004002,0,,,
2009-2019,11700,"Asheville, NC",Total,Total,Percent Change in Median Earnings,0.146578,1,Midsized,44,23
2014-2019,11700,"Asheville, NC",Total,Total,Percent Change in Median Earnings,0.071557,1,Midsized,145,53
2018-2019,11700,"Asheville, NC",Total,Total,Percent Change in Median Earnings,-0.012832,1,Midsized,149,62
2009-2019,11740,"Ashland, OH",Total,Total,Percent Change in Median Earnings,0.152654,0,,,
2014-2019,11740,"Ashland, OH",Total,Total,Percent Change in Median Earnings,0.201052,0,,,
2018-2019,11740,"Ashland, OH",Total,Total,Percent Change in Median Earnings,0.060125,0,,,
2009-2019,11780,"Ashtabula, OH",Total,Total,Percent Change in Median Earnings,0.09482,0,,,
2014-2019,11780,"Ashtabula, OH",Total,Total,Percent Change in Median Earnings,-0.029595,0,,,
2018-2019,11780,"Ashtabula, OH",Total,Total,Percent Change in Median Earnings,0.009263,0,,,
2009-2019,11820,"Astoria, OR",Total,Total,Percent Change in Median Earnings,0.083714,0,,,
2014-2019,11820,"Astoria, OR",Total,Total,Percent Change in Median Earnings,0.080754,0,,,
2018-2019,11820,"Astoria, OR",Total,Total,Percent Change in Median Earnings,-0.015894,0,,,
2009-2019,11860,"Atchison, KS",Total,Total,Percent Change in Median Earnings,0.047576,0,,,
2014-2019,11860,"Atchison, KS",Total,Total,Percent Change in Median Earnings,0.120089,0,,,
2018-2019,11860,"Atchison, KS",Total,Total,Percent Change in Median Earnings,0.172827,0,,,
2009-2019,11900,"Athens, OH",Total,Total,Percent Change in Median Earnings,0.207478,0,,,
2014-2019,11900,"Athens, OH",Total,Total,Percent Change in Median Earnings,0.479743,0,,,
2018-2019,11900,"Athens, OH",Total,Total,Percent Change in Median Earnings,0.182833,0,,,
2009-2019,11940,"Athens, TN",Total,Total,Percent Change in Median Earnings,0.045429,0,,,
2014-2019,11940,"Athens, TN",Total,Total,Percent Change in Median Earnings,0.157676,0,,,
2018-2019,11940,"Athens, TN",Total,Total,Percent Change in Median Earnings,0.017685,0,,,
2009-2019,11980,"Athens, TX",Total,Total,Percent Change in Median Earnings,0.002124,0,,,
2014-2019,11980,"Athens, TX",Total,Total,Percent Change in Median Earnings,0.146971,0,,,
2018-2019,11980,"Athens, TX",Total,Total,Percent Change in Median Earnings,0.066576,0,,,
2009-2019,12020,"Athens-Clarke County, GA",Total,Total,Percent Change in Median Earnings,0.019688,0,,,
2014-2019,12020,"Athens-Clarke County, GA",Total,Total,Percent Change in Median Earnings,0.101124,0,,,
2018-2019,12020,"Athens-Clarke County, GA",Total,Total,Percent Change in Median Earnings,-0.023166,0,,,
2009-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Total,Percent Change in Median Earnings,0.111547,1,Very Large,65,17
2014-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Total,Percent Change in Median Earnings,0.179962,1,Very Large,27,7
2018-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Total,Total,Percent Change in Median Earnings,0.038767,1,Very Large,83,23
2009-2019,12100,"Atlantic City-Hammonton, NJ",Total,Total,Percent Change in Median Earnings,0.026097,1,Midsized,165,70
2014-2019,12100,"Atlantic City-Hammonton, NJ",Total,Total,Percent Change in Median Earnings,0.090813,1,Midsized,118,44
2018-2019,12100,"Atlantic City-Hammonton, NJ",Total,Total,Percent Change in Median Earnings,0.139263,1,Midsized,3,3
2009-2019,12120,"Atmore, AL",Total,Total,Percent Change in Median Earnings,0.182008,0,,,
2014-2019,12120,"Atmore, AL",Total,Total,Percent Change in Median Earnings,-0.010433,0,,,
2018-2019,12120,"Atmore, AL",Total,Total,Percent Change in Median Earnings,-0.016644,0,,,
2009-2019,12140,"Auburn, IN",Total,Total,Percent Change in Median Earnings,0.137132,0,,,
2014-2019,12140,"Auburn, IN",Total,Total,Percent Change in Median Earnings,0.059513,0,,,
2018-2019,12140,"Auburn, IN",Total,Total,Percent Change in Median Earnings,-0.057622,0,,,
2009-2019,12180,"Auburn, NY",Total,Total,Percent Change in Median Earnings,0.138963,0,,,
2014-2019,12180,"Auburn, NY",Total,Total,Percent Change in Median Earnings,0.076345,0,,,
2018-2019,12180,"Auburn, NY",Total,Total,Percent Change in Median Earnings,-0.020154,0,,,
2009-2019,12220,"Auburn-Opelika, AL",Total,Total,Percent Change in Median Earnings,0.465794,0,,,
2014-2019,12220,"Auburn-Opelika, AL",Total,Total,Percent Change in Median Earnings,0.191034,0,,,
2018-2019,12220,"Auburn-Opelika, AL",Total,Total,Percent Change in Median Earnings,0.183384,0,,,
2009-2019,12260,"Augusta-Richmond County, GA-SC",Total,Total,Percent Change in Median Earnings,0.044649,1,Large,147,43
2014-2019,12260,"Augusta-Richmond County, GA-SC",Total,Total,Percent Change in Median Earnings,0.084698,1,Large,132,40
2018-2019,12260,"Augusta-Richmond County, GA-SC",Total,Total,Percent Change in Median Earnings,0.022,1,Large,101,28
2009-2019,12300,"Augusta-Waterville, ME",Total,Total,Percent Change in Median Earnings,0.112569,0,,,
2014-2019,12300,"Augusta-Waterville, ME",Total,Total,Percent Change in Median Earnings,0.08983,0,,,
2018-2019,12300,"Augusta-Waterville, ME",Total,Total,Percent Change in Median Earnings,0.055672,0,,,
2009-2019,12380,"Austin, MN",Total,Total,Percent Change in Median Earnings,0.031372,0,,,
2014-2019,12380,"Austin, MN",Total,Total,Percent Change in Median Earnings,0.062783,0,,,
2018-2019,12380,"Austin, MN",Total,Total,Percent Change in Median Earnings,-0.017461,0,,,
2009-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Total,Percent Change in Median Earnings,0.164827,1,Very Large,33,8
2014-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Total,Percent Change in Median Earnings,0.162701,1,Very Large,44,13
2018-2019,12420,"Austin-Round Rock-Georgetown, TX",Total,Total,Percent Change in Median Earnings,-0.022469,1,Very Large,174,52
2009-2019,12460,"Bainbridge, GA",Total,Total,Percent Change in Median Earnings,-0.02484,0,,,
2014-2019,12460,"Bainbridge, GA",Total,Total,Percent Change in Median Earnings,-0.042147,0,,,
2018-2019,12460,"Bainbridge, GA",Total,Total,Percent Change in Median Earnings,-0.080995,0,,,
2009-2019,12540,"Bakersfield, CA",Total,Total,Percent Change in Median Earnings,0.071012,1,Large,120,32
2014-2019,12540,"Bakersfield, CA",Total,Total,Percent Change in Median Earnings,0.114873,1,Large,91,22
2018-2019,12540,"Bakersfield, CA",Total,Total,Percent Change in Median Earnings,0.050476,1,Large,55,12
2009-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Total,Percent Change in Median Earnings,0.047287,1,Very Large,145,41
2014-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Total,Percent Change in Median Earnings,0.085509,1,Very Large,131,45
2018-2019,12580,"Baltimore-Columbia-Towson, MD",Total,Total,Percent Change in Median Earnings,0.000094,1,Very Large,139,43
2009-2019,12620,"Bangor, ME",Total,Total,Percent Change in Median Earnings,0.137548,0,,,
2014-2019,12620,"Bangor, ME",Total,Total,Percent Change in Median Earnings,0.138224,0,,,
2018-2019,12620,"Bangor, ME",Total,Total,Percent Change in Median Earnings,0.031997,0,,,
2009-2019,12660,"Baraboo, WI",Total,Total,Percent Change in Median Earnings,0.180955,0,,,
2014-2019,12660,"Baraboo, WI",Total,Total,Percent Change in Median Earnings,0.153126,0,,,
2018-2019,12660,"Baraboo, WI",Total,Total,Percent Change in Median Earnings,0.10937,0,,,
2009-2019,12680,"Bardstown, KY",Total,Total,Percent Change in Median Earnings,0.230919,0,,,
2014-2019,12680,"Bardstown, KY",Total,Total,Percent Change in Median Earnings,0.267925,0,,,
2018-2019,12680,"Bardstown, KY",Total,Total,Percent Change in Median Earnings,0.101116,0,,,
2009-2019,12700,"Barnstable Town, MA",Total,Total,Percent Change in Median Earnings,0.145807,0,,,
2014-2019,12700,"Barnstable Town, MA",Total,Total,Percent Change in Median Earnings,0.09243,0,,,
2018-2019,12700,"Barnstable Town, MA",Total,Total,Percent Change in Median Earnings,0.183444,0,,,
2009-2019,12740,"Barre, VT",Total,Total,Percent Change in Median Earnings,0.082384,0,,,
2014-2019,12740,"Barre, VT",Total,Total,Percent Change in Median Earnings,-0.006161,0,,,
2018-2019,12740,"Barre, VT",Total,Total,Percent Change in Median Earnings,0.031371,0,,,
2009-2019,12780,"Bartlesville, OK",Total,Total,Percent Change in Median Earnings,0.123672,0,,,
2014-2019,12780,"Bartlesville, OK",Total,Total,Percent Change in Median Earnings,0.015198,0,,,
2018-2019,12780,"Bartlesville, OK",Total,Total,Percent Change in Median Earnings,-0.063209,0,,,
2009-2019,12860,"Batavia, NY",Total,Total,Percent Change in Median Earnings,0.083788,0,,,
2014-2019,12860,"Batavia, NY",Total,Total,Percent Change in Median Earnings,0.129757,0,,,
2018-2019,12860,"Batavia, NY",Total,Total,Percent Change in Median Earnings,0.078845,0,,,
2009-2019,12900,"Batesville, AR",Total,Total,Percent Change in Median Earnings,0.088377,0,,,
2014-2019,12900,"Batesville, AR",Total,Total,Percent Change in Median Earnings,-0.07416,0,,,
2018-2019,12900,"Batesville, AR",Total,Total,Percent Change in Median Earnings,-0.013986,0,,,
2009-2019,12940,"Baton Rouge, LA",Total,Total,Percent Change in Median Earnings,0.077833,1,Large,104,28
2014-2019,12940,"Baton Rouge, LA",Total,Total,Percent Change in Median Earnings,0.091585,1,Large,116,36
2018-2019,12940,"Baton Rouge, LA",Total,Total,Percent Change in Median Earnings,-0.015625,1,Large,158,48
2009-2019,12980,"Battle Creek, MI",Total,Total,Percent Change in Median Earnings,0.209233,0,,,
2014-2019,12980,"Battle Creek, MI",Total,Total,Percent Change in Median Earnings,0.112061,0,,,
2018-2019,12980,"Battle Creek, MI",Total,Total,Percent Change in Median Earnings,0.09029,0,,,
2009-2019,13020,"Bay City, MI",Total,Total,Percent Change in Median Earnings,0.201201,0,,,
2014-2019,13020,"Bay City, MI",Total,Total,Percent Change in Median Earnings,0.107829,0,,,
2018-2019,13020,"Bay City, MI",Total,Total,Percent Change in Median Earnings,0.130935,0,,,
2009-2019,13060,"Bay City, TX",Total,Total,Percent Change in Median Earnings,0.29862,0,,,
2014-2019,13060,"Bay City, TX",Total,Total,Percent Change in Median Earnings,0.187738,0,,,
2018-2019,13060,"Bay City, TX",Total,Total,Percent Change in Median Earnings,0.04344,0,,,
2009-2019,13100,"Beatrice, NE",Total,Total,Percent Change in Median Earnings,0.064917,0,,,
2014-2019,13100,"Beatrice, NE",Total,Total,Percent Change in Median Earnings,0.106648,0,,,
2018-2019,13100,"Beatrice, NE",Total,Total,Percent Change in Median Earnings,-0.012301,0,,,
2009-2019,13140,"Beaumont-Port Arthur, TX",Total,Total,Percent Change in Median Earnings,0.076644,1,Midsized,110,46
2014-2019,13140,"Beaumont-Port Arthur, TX",Total,Total,Percent Change in Median Earnings,0.115,1,Midsized,90,37
2018-2019,13140,"Beaumont-Port Arthur, TX",Total,Total,Percent Change in Median Earnings,0.11599,1,Midsized,11,8
2009-2019,13180,"Beaver Dam, WI",Total,Total,Percent Change in Median Earnings,0.140157,0,,,
2014-2019,13180,"Beaver Dam, WI",Total,Total,Percent Change in Median Earnings,0.194338,0,,,
2018-2019,13180,"Beaver Dam, WI",Total,Total,Percent Change in Median Earnings,0.055896,0,,,
2009-2019,13220,"Beckley, WV",Total,Total,Percent Change in Median Earnings,0.090742,0,,,
2014-2019,13220,"Beckley, WV",Total,Total,Percent Change in Median Earnings,0.03879,0,,,
2018-2019,13220,"Beckley, WV",Total,Total,Percent Change in Median Earnings,-0.037536,0,,,
2009-2019,13260,"Bedford, IN",Total,Total,Percent Change in Median Earnings,0.07448,0,,,
2014-2019,13260,"Bedford, IN",Total,Total,Percent Change in Median Earnings,0.081318,0,,,
2018-2019,13260,"Bedford, IN",Total,Total,Percent Change in Median Earnings,0.015288,0,,,
2009-2019,13300,"Beeville, TX",Total,Total,Percent Change in Median Earnings,0.13694,0,,,
2014-2019,13300,"Beeville, TX",Total,Total,Percent Change in Median Earnings,-0.059105,0,,,
2018-2019,13300,"Beeville, TX",Total,Total,Percent Change in Median Earnings,-0.176734,0,,,
2009-2019,13340,"Bellefontaine, OH",Total,Total,Percent Change in Median Earnings,0.196447,0,,,
2014-2019,13340,"Bellefontaine, OH",Total,Total,Percent Change in Median Earnings,0.115777,0,,,
2018-2019,13340,"Bellefontaine, OH",Total,Total,Percent Change in Median Earnings,0.058994,0,,,
2009-2019,13380,"Bellingham, WA",Total,Total,Percent Change in Median Earnings,0.258525,0,,,
2014-2019,13380,"Bellingham, WA",Total,Total,Percent Change in Median Earnings,0.229951,0,,,
2018-2019,13380,"Bellingham, WA",Total,Total,Percent Change in Median Earnings,0.062261,0,,,
2009-2019,13420,"Bemidji, MN",Total,Total,Percent Change in Median Earnings,0.164928,0,,,
2014-2019,13420,"Bemidji, MN",Total,Total,Percent Change in Median Earnings,0.196579,0,,,
2018-2019,13420,"Bemidji, MN",Total,Total,Percent Change in Median Earnings,0.060276,0,,,
2009-2019,13460,"Bend, OR",Total,Total,Percent Change in Median Earnings,-0.01454,0,,,
2014-2019,13460,"Bend, OR",Total,Total,Percent Change in Median Earnings,0.139344,0,,,
2018-2019,13460,"Bend, OR",Total,Total,Percent Change in Median Earnings,-0.090786,0,,,
2009-2019,13500,"Bennettsville, SC",Total,Total,Percent Change in Median Earnings,0.502635,0,,,
2014-2019,13500,"Bennettsville, SC",Total,Total,Percent Change in Median Earnings,0.270027,0,,,
2018-2019,13500,"Bennettsville, SC",Total,Total,Percent Change in Median Earnings,0.124483,0,,,
2009-2019,13540,"Bennington, VT",Total,Total,Percent Change in Median Earnings,0.109803,0,,,
2014-2019,13540,"Bennington, VT",Total,Total,Percent Change in Median Earnings,0.20932,0,,,
2018-2019,13540,"Bennington, VT",Total,Total,Percent Change in Median Earnings,0.009988,0,,,
2009-2019,13620,"Berlin, NH",Total,Total,Percent Change in Median Earnings,0.157872,0,,,
2014-2019,13620,"Berlin, NH",Total,Total,Percent Change in Median Earnings,0.152158,0,,,
2018-2019,13620,"Berlin, NH",Total,Total,Percent Change in Median Earnings,0.128159,0,,,
2009-2019,13660,"Big Rapids, MI",Total,Total,Percent Change in Median Earnings,0.294401,0,,,
2014-2019,13660,"Big Rapids, MI",Total,Total,Percent Change in Median Earnings,0.123787,0,,,
2018-2019,13660,"Big Rapids, MI",Total,Total,Percent Change in Median Earnings,0.008382,0,,,
2009-2019,13700,"Big Spring, TX",Total,Total,Percent Change in Median Earnings,0.144388,0,,,
2014-2019,13700,"Big Spring, TX",Total,Total,Percent Change in Median Earnings,0.0667,0,,,
2018-2019,13700,"Big Spring, TX",Total,Total,Percent Change in Median Earnings,0.058137,0,,,
2009-2019,13720,"Big Stone Gap, VA",Total,Total,Percent Change in Median Earnings,-0.061829,0,,,
2014-2019,13720,"Big Stone Gap, VA",Total,Total,Percent Change in Median Earnings,-0.022738,0,,,
2018-2019,13720,"Big Stone Gap, VA",Total,Total,Percent Change in Median Earnings,-0.129145,0,,,
2009-2019,13740,"Billings, MT",Total,Total,Percent Change in Median Earnings,0.042492,0,,,
2014-2019,13740,"Billings, MT",Total,Total,Percent Change in Median Earnings,0.128864,0,,,
2018-2019,13740,"Billings, MT",Total,Total,Percent Change in Median Earnings,-0.011727,0,,,
2009-2019,13780,"Binghamton, NY",Total,Total,Percent Change in Median Earnings,0.090371,0,,,
2014-2019,13780,"Binghamton, NY",Total,Total,Percent Change in Median Earnings,0.010033,0,,,
2018-2019,13780,"Binghamton, NY",Total,Total,Percent Change in Median Earnings,0.035019,0,,,
2009-2019,13820,"Birmingham-Hoover, AL",Total,Total,Percent Change in Median Earnings,0.047873,1,Very Large,144,40
2014-2019,13820,"Birmingham-Hoover, AL",Total,Total,Percent Change in Median Earnings,0.130131,1,Very Large,69,25
2018-2019,13820,"Birmingham-Hoover, AL",Total,Total,Percent Change in Median Earnings,0.016018,1,Very Large,113,30
2009-2019,13900,"Bismarck, ND",Total,Total,Percent Change in Median Earnings,0.140021,0,,,
2014-2019,13900,"Bismarck, ND",Total,Total,Percent Change in Median Earnings,0.118525,0,,,
2018-2019,13900,"Bismarck, ND",Total,Total,Percent Change in Median Earnings,-0.070784,0,,,
2009-2019,13940,"Blackfoot, ID",Total,Total,Percent Change in Median Earnings,-0.034763,0,,,
2014-2019,13940,"Blackfoot, ID",Total,Total,Percent Change in Median Earnings,0.035355,0,,,
2018-2019,13940,"Blackfoot, ID",Total,Total,Percent Change in Median Earnings,-0.024655,0,,,
2009-2019,13980,"Blacksburg-Christiansburg, VA",Total,Total,Percent Change in Median Earnings,0.630958,0,,,
2014-2019,13980,"Blacksburg-Christiansburg, VA",Total,Total,Percent Change in Median Earnings,0.340568,0,,,
