year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2011,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.684990764,0,
2012,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.692224264,0,
2013,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.697815597,0,
2014,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.705520988,0,
2015,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.712987542,0,
2016,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.720119953,0,
2017,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.726221204,0,
2018,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.732788742,0,
2019,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.740710199,0,
2009,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.825664639,0,
2010,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.775881052,0,
2011,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.796093285,0,
2012,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.791759074,0,
2013,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.833043337,0,
2014,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.826223731,0,
2015,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.814817846,0,
2016,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.804896414,0,
2017,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.823206723,0,
2018,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.828418553,0,
2019,10100,"Aberdeen, SD",Total,Total,Employment-to-Population Ratio,0.84132427,0,
2009,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.592011929,0,
2010,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.576294839,0,
2011,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.575533688,0,
2012,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.594400048,0,
2013,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.561654091,0,
2014,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.590729773,0,
2015,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.618471801,0,
2016,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.613956273,0,
2017,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.619293809,0,
2018,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.614010692,0,
2019,10140,"Aberdeen, WA",Total,Total,Employment-to-Population Ratio,0.687489927,0,
2009,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.725504756,0,
2010,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.70102042,0,
2011,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.656809211,0,
2012,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.666196585,0,
2013,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.689783692,0,
2014,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.711442649,0,
2015,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.710925221,0,
2016,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.689416289,0,
2017,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.746021032,0,
2018,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.708927631,0,
2019,10180,"Abilene, TX",Total,Total,Employment-to-Population Ratio,0.748944223,0,
2009,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.673764884,0,
2010,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.657008767,0,
2011,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.682654083,0,
2012,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.64461416,0,
2013,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.653124571,0,
2014,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.637312949,0,
2015,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.636716127,0,
2016,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.618350804,0,
2017,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.630132139,0,
2018,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.631038725,0,
2019,10220,"Ada, OK",Total,Total,Employment-to-Population Ratio,0.673528135,0,
2009,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.629235446,0,
2010,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.622996747,0,
2011,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.638529181,0,
2012,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.631859124,0,
2013,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.660389781,0,
2014,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.67658782,0,
2015,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.6637941,0,
2016,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.68240869,0,
2017,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.674438775,0,
2018,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.674386859,0,
2019,10300,"Adrian, MI",Total,Total,Employment-to-Population Ratio,0.674449086,0,
2009,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.708555043,1,Large
2010,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.691078544,1,Large
2011,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.701231062,1,Large
2012,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.7091555,1,Large
2013,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.714655697,1,Large
2014,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.721811593,1,Large
2015,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.718160033,1,Large
2016,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.729654849,1,Large
2017,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.747842789,1,Large
2018,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.758657217,1,Large
2019,10420,"Akron, OH",Total,Total,Employment-to-Population Ratio,0.757998466,1,Large
2009,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.690979064,0,
2010,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.66101253,0,
2011,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.629467845,0,
2012,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.621152699,0,
2013,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.625211418,0,
2014,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.614684343,0,
2015,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.626243293,0,
2016,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.653599024,0,
2017,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.611554682,0,
2018,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.636874974,0,
2019,10460,"Alamogordo, NM",Total,Total,Employment-to-Population Ratio,0.631899774,0,
2009,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.634384453,0,
2010,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.574595749,0,
2011,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.579325795,0,
2012,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.588787913,0,
2013,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.590350628,0,
2014,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.593193173,0,
2015,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.594453931,0,
2016,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.635008097,0,
2017,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.641325772,0,
2018,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.631497979,0,
2019,10500,"Albany, GA",Total,Total,Employment-to-Population Ratio,0.630037904,0,
2009,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.65710026,0,
2010,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.623301387,0,
2011,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.597767055,0,
2012,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.609836817,0,
2013,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.617312968,0,
2014,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.642939806,0,
2015,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.65363729,0,
2016,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.660538077,0,
2017,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.694553852,0,
2018,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.677827597,0,
2019,10540,"Albany-Lebanon, OR",Total,Total,Employment-to-Population Ratio,0.73109901,0,
2009,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.728390753,1,Large
2010,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.727228224,1,Large
2011,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.731629491,1,Large
2012,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.726227522,1,Large
2013,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.720766068,1,Large
2014,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.739646733,1,Large
2015,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.734976113,1,Large
2016,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.744861007,1,Large
2017,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.739236116,1,Large
2018,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.751541018,1,Large
2019,10580,"Albany-Schenectady-Troy, NY",Total,Total,Employment-to-Population Ratio,0.76631242,1,Large
2009,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.651420653,0,
2010,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.616067111,0,
2011,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.594390213,0,
2012,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.671670973,0,
2013,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.707019627,0,
2014,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.709111571,0,
2015,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.728289068,0,
2016,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.74702096,0,
2017,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.722797573,0,
2018,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.739955783,0,
2019,10620,"Albemarle, NC",Total,Total,Employment-to-Population Ratio,0.774110496,0,
2009,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.791947782,0,
2010,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.815676451,0,
2011,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.815221608,0,
2012,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.764277697,0,
2013,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.825317025,0,
2014,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.844424307,0,
2015,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.813861728,0,
2016,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.798315525,0,
2017,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.828312755,0,
2018,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.822631001,0,
2019,10660,"Albert Lea, MN",Total,Total,Employment-to-Population Ratio,0.82440716,0,
2009,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.654249549,0,
2010,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.62472713,0,
2011,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.627436936,0,
2012,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.630673051,0,
2013,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.662116706,0,
2014,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.658536613,0,
2015,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.659650266,0,
2016,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.656158209,0,
2017,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.651518643,0,
2018,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.664351642,0,
2019,10700,"Albertville, AL",Total,Total,Employment-to-Population Ratio,0.697665572,0,
2009,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.713692069,1,Large
2010,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.685850441,1,Large
2011,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.660324454,1,Large
2012,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.665661335,1,Large
2013,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.66625607,1,Large
2014,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.668383002,1,Large
2015,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.678815544,1,Large
2016,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.692990541,1,Large
2017,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.692522407,1,Large
2018,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.707226574,1,Large
2019,10740,"Albuquerque, NM",Total,Total,Employment-to-Population Ratio,0.728907943,1,Large
2009,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.594721854,0,
2010,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.581005394,0,
2011,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.643504381,0,
2012,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.579834104,0,
2013,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.609788179,0,
2014,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.584689498,0,
2015,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.602554023,0,
2016,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.613400042,0,
2017,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.638182461,0,
2018,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.575053036,0,
2019,10760,"Alexander City, AL",Total,Total,Employment-to-Population Ratio,0.631793678,0,
2009,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.684893608,0,
2010,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.590627491,0,
2011,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.587788284,0,
2012,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.63501209,0,
2013,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.599511087,0,
2014,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.617209375,0,
2015,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.640612066,0,
2016,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.637953639,0,
2017,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.618834734,0,
2018,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.630899191,0,
2019,10780,"Alexandria, LA",Total,Total,Employment-to-Population Ratio,0.668173254,0,
2009,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.792726278,0,
2010,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.77450794,0,
2011,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.780988038,0,
2012,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.812629879,0,
2013,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.784249663,0,
2014,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.771102428,0,
2015,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.804163098,0,
2016,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.818347037,0,
2017,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.798028409,0,
2018,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.800265193,0,
2019,10820,"Alexandria, MN",Total,Total,Employment-to-Population Ratio,0.816107333,0,
2009,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.558866382,0,
2010,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.564670146,0,
2011,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.540461242,0,
2012,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.624947369,0,
2013,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.570127666,0,
2014,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.587222099,0,
2015,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.556135952,0,
2016,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.650748134,0,
2017,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.643830836,0,
2018,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.618561089,0,
2019,10860,"Alice, TX",Total,Total,Employment-to-Population Ratio,0.655473113,0,
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.720848501,1,Large
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.696628094,1,Large
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.718441427,1,Large
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.72143954,1,Large
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.701128066,1,Large
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.741741598,1,Large
2015,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.739699662,1,Large
2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.746119976,1,Large
2017,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.740392566,1,Large
2018,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.748917699,1,Large
2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Employment-to-Population Ratio,0.749751866,1,Large
2009,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.601762831,0,
2010,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.565351129,0,
2011,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.578293741,0,
2012,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.59469074,0,
2013,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.609665692,0,
2014,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.617343783,0,
2015,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.612651825,0,
2016,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.586280406,0,
2017,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.582156837,0,
2018,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.643611073,0,
2019,10940,"Alma, MI",Total,Total,Employment-to-Population Ratio,0.610333085,0,
2009,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.567166746,0,
2010,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.582373261,0,
2011,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.612090945,0,
2012,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.615863442,0,
2013,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.635546684,0,
2014,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.607117295,0,
2015,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.630259275,0,
2016,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.6264202,0,
2017,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.62540859,0,
2018,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.665715516,0,
2019,10980,"Alpena, MI",Total,Total,Employment-to-Population Ratio,0.653707564,0,
2009,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.724167705,0,
2010,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.701891661,0,
2011,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.668720901,0,
2012,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.685304046,0,
2013,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.702363074,0,
2014,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.680123806,0,
2015,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.674003243,0,
2016,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.660043895,0,
2017,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.682735026,0,
2018,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.710913956,0,
2019,11020,"Altoona, PA",Total,Total,Employment-to-Population Ratio,0.722314835,0,
2009,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.673171997,0,
2010,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.689917207,0,
2011,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.6371032,0,
2012,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.699393153,0,
2013,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.702669144,0,
2014,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.664818704,0,
2015,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.672504246,0,
2016,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.658418119,0,
2017,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.651346862,0,
2018,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.723959744,0,
2019,11060,"Altus, OK",Total,Total,Employment-to-Population Ratio,0.648755908,0,
2009,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.735341966,1,Midsized
2010,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.75008601,1,Midsized
2011,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.719921052,1,Midsized
2012,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.717231691,1,Midsized
2013,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.724588275,1,Midsized
2014,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.730292678,1,Midsized
2015,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.729017794,1,Midsized
2016,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.740817249,1,Midsized
2017,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.729047954,1,Midsized
2018,11100,"Amarillo, TX",Total,Total,Employment-to-Population Ratio,0.741208851,1,Midsized
